analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
Off,50,20,7,1.61555,0.035662,170.646,0,0
Off,50,20,8,0.035254,0.022753,126.629,0,0
Off,50,20,9,0.020622,0.013998,111.993,0,0
Off,50,20,10,0.029793,0.022004,120.357,0,0
Off,50,20,11,53.4023,25.6187,212.11,122776,17198
Off,50,20,12,64.8121,33.5619,227.142,223298,35391
Off,50,20,13,60.5035,33.8754,232.657,307859,52936
Off,50,20,14,63.517,39.2574,240.215,363125,66967
Off,50,20,15,68.3355,35.4645,249.626,444649,83953
Off,50,20,16,69.0089,41.7897,252.438,527484,103744
Off,50,20,17,69.6095,39.8837,244.727,557954,111453
Off,50,20,18,65.0678,33.1183,212.985,576057,114481
Off,50,20,19,45.9829,21.2776,166.794,563960,115324
Off,50,20,20,44.884,23.3778,169.826,539911,109919
Off,50,20,21,61.0244,44.1852,262.93,533491,105367
Off,50,20,22,53.401,43.3376,242.212,536750,103153
Off,50,20,23,50.039,26.3741,194.754,537141,102767
Off,50,20,24,52.2903,33.6076,217.754,539926,105026
Off,50,20,25,53.6543,37.5367,231.45,543970,108696
Off,50,20,26,52.4878,37.7255,237.83,545603,110570
Off,50,20,27,51.3281,40.5637,219.254,553995,112856
Off,50,20,28,55.552,36.4861,228.062,564865,115048
Off,50,20,29,52.2632,36.4362,227.438,566120,115998
Off,50,50,0,0.033288,0.020084,131.026,0,0
Off,50,50,1,0.036423,0.022296,133.899,0,0
Off,50,50,2,0.02559,0.015081,126.209,0,0
Off,50,50,3,0.027083,0.014045,115.894,0,0
Off,50,50,4,0.033714,0.023207,128.494,0,0
Off,50,50,5,0.038455,0.030293,140.256,0,0
Off,50,50,6,0.041247,0.021829,136.774,0,0
Off,50,50,7,0.028335,0.017667,134.595,0,0
Off,50,50,8,0.032292,0.030751,145.533,0,0
Off,50,50,9,0.019581,0.016169,168.843,0,0
Off,50,50,10,0.026584,0.017165,141.421,0,0
Off,50,50,11,74.3499,47.1699,290.934,375099,28185
Off,50,50,12,82.0923,47.3032,286.302,656018,55280
Off,50,50,13,86.4855,54.1498,301.561,863714,78057
Off,50,50,14,90.5884,47.1459,294.995,1005024,96784
Off,50,50,15,87.2062,39.5203,265.185,1197027,119077
Off,50,50,16,99.1266,53.2967,322.182,1373906,142548
Off,50,50,17,92.1152,43.3974,275.253,1429500,149398
Off,50,50,18,89.6001,41.262,275.758,1409566,154824
Off,50,50,19,82.5823,48.7164,298.384,1363596,155108
Off,50,50,20,78.2533,46.8091,291.368,1293080,145612
Off,50,50,21,79.9614,52.4307,297.976,1243703,137430
Off,50,50,22,81.7046,46.3635,286.885,1238241,135635
Off,50,50,23,79.6674,51.1078,300.41,1267645,139025
Off,50,50,24,81.4426,49.1196,286.911,1311016,141148
Off,50,50,25,80.2073,49.7357,306.952,1338429,142678
Off,50,50,26,80.1594,52.302,306.43,1363080,144597
Off,50,50,27,78.2369,44.8863,266.179,1392850,147230
Off,50,50,28,77.3904,40.818,262.313,1418854,149249
Off,50,50,29,78.6772,50.3129,285.337,1428729,150324
Off,50,100,0,0.028702,0.015957,191.57,0,0
Off,50,100,1,0.040833,0.026203,216.998,0,0
Off,50,100,2,0.049206,0.027914,223.584,0,0
Off,50,100,3,0.050123,0.018542,213.127,0,0
Off,50,100,4,0.024624,0.017256,193.037,0,0
Off,50,100,5,0.012541,0.008541,137.721,0,0
Off,50,100,6,0.003333,0.002459,126.863,0,0
Off,50,100,7,0.001832,0.001459,85.1483,0,0
Off,50,100,8,0.002295,0.001165,72.6133,0,0
Off,50,100,9,0.001415,0.001502,76.1666,0,0
Off,50,100,10,0.002375,0.00158,75.24,0,0
Off,50,100,11,36.8373,18.0727,127.07,1165905,70251
Off,50,100,12,39.6351,20.4905,134.275,2013953,125277
Off,50,100,13,43.3758,21.1549,137.127,2597413,169244
Off,50,100,14,45.9377,23.8673,146.528,2983633,202120
Off,50,100,15,48.0463,25.5291,152.631,3513901,240442
Off,50,100,16,42.5468,22.3758,140.528,3979147,278572
Off,50,100,17,42.759,22.8559,139.5,4094150,289056
Off,50,100,18,43.7901,22.3737,139.617,3932150,290224
Off,50,100,19,41.0749,23.8946,139.092,3703142,285663
Off,50,100,20,37.9078,22.3848,134.387,3501984,269233
Off,50,100,21,40.2257,24.644,139.978,3392544,260814
Off,50,100,22,57.3366,28.8246,176.045,3432560,260158
Off,50,100,23,38.4001,23.7431,137.4,3532211,260010
Off,50,100,24,39.5999,24.9427,140.428,3630340,268468
Off,50,100,25,38.7347,22.4651,135.134,3802070,282458
Off,50,100,26,38.532,22.6888,135.48,4005598,288695
Off,50,100,27,39.2442,22.8266,136.65,4173646,293362
Off,50,100,28,40.7774,24.4402,139.382,4254483,295168
Off,50,100,29,42.8482,24.4195,148.55,4274225,297789
Off,100,20,0,0.002415,0.001542,69.9329,0,0
Off,100,20,1,0.002084,0.00125,71.0785,0,0
Off,100,20,2,0.001918,0.001209,69.5783,0,0
Off,100,20,3,0.002165,0.001041,71.4373,0,0
Off,100,20,4,0.001918,0.001669,69.6906,0,0
Off,100,20,5,0.00163,0.000999,70.691,0,0
Off,100,20,6,0.002206,0.001288,69.148,0,0
