frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,mesh_upload,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,render_total,scene_draw,debug_draw,imgui_draw
7,22.0328,134.058,7.45944,37869,419,0.034583,130.929,0,44.468,51.317,17.497,16.9533,0.204998,0.195292,2.70771,2.67783,0.011791,0.069875
8,22.1683,146.274,6.83649,54730,455,0.039917,142.957,0,44.9852,53.507,21.0635,22.7394,0.184879,0.193042,2.83504,2.79879,0.012334,0.075375
9,22.3193,144.971,6.89792,60371,612,0.038417,141.868,0,45.1425,51.8014,21.6336,22.6466,0.171294,0.190459,2.67025,2.63587,0.012958,0.068
10,22.4656,147.893,6.76162,62344,776,0.028417,144.87,0.724208,45.1755,54.007,21.6633,22.6517,0.167667,0.191459,2.59971,2.57888,0.0095,0.056041
11,22.6147,148.054,6.75431,62582,749,0.025666,145.036,0,44.3927,52.5596,23.9957,23.4085,0.189208,0.190209,2.6385,2.6175,0.009292,0.05375
12,22.7638,152.568,6.55446,64479,740,0.04425,149.376,0,48.0069,55.8641,21.7734,23.0585,0.176539,0.200875,2.73308,2.68658,0.016667,0.076333
13,22.918,147.833,6.76438,67843,872,0.028875,144.768,0,47.3952,51.2941,21.9565,23.4728,0.170621,0.195709,2.68429,2.66229,0.010083,0.060208
14,23.067,148.251,6.74532,71391,972,0.045,145.07,0,47.6118,51.9718,22.0116,22.8087,0.170417,0.196833,2.71362,2.67912,0.012416,0.075042
15,23.2169,150.266,6.65489,80300,767,0.04375,147.137,0,44.9556,56.0383,22.1481,23.3391,0.171829,0.196542,2.69767,2.66467,0.014458,0.071208
16,23.3687,148.418,6.73774,88055,896,0.029709,145.38,0,44.7934,55.4095,21.7653,22.7418,0.183252,0.192334,2.63675,2.61725,0.009958,0.063417
17,23.5182,144.012,6.94386,87749,900,0.028209,140.889,0,44.7391,51.1296,21.7939,22.5672,0.165121,0.190792,2.72883,2.70833,0.01025,0.058709
18,23.666,155.775,6.41952,101159,1085,0.039541,152.639,0,44.3166,62.6346,21.9966,22.9979,0.202278,0.197875,2.66996,2.62988,0.014125,0.082292
19,23.8234,155.054,6.44938,259531,2611,0.029833,152.01,0,44.7332,54.34,27.049,25.2301,0.167667,0.194041,2.63783,2.61458,0.011917,0.065542
20,23.9824,162.207,6.16495,462605,4610,0.034042,159.223,0.71225,47.3446,53.5985,32.1824,24.7284,0.162583,0.197542,2.58412,2.55096,0.017916,0.072375
21,24.146,172.566,5.7949,835157,7036,0.035167,169.394,0,48.5039,52.1499,41.5727,26.4923,0.171202,0.188625,2.71296,2.67371,0.016417,0.0785
22,24.3201,181.06,5.52302,1279746,10756,0.037417,177.927,0,45.3201,53.225,49.4337,29.2874,0.16871,0.19675,2.68083,2.65417,0.013709,0.080958
23,24.5027,173.143,5.77559,1598466,14706,0.032084,170.07,0,46.05,52.6317,41.042,29.679,0.164838,0.197333,2.64438,2.62008,0.012542,0.065791
24,24.6764,177.14,5.64524,1669358,16844,0.045541,174.14,0,45.9554,53.4857,44.334,29.6868,0.183833,0.196583,2.56746,2.53408,0.016083,0.07725
25,24.8543,173.538,5.76243,1529760,15779,0.0275,170.516,0,46.0578,53.755,42.2785,27.7498,0.164961,0.196292,2.61379,2.59233,0.013166,0.064042
26,25.0284,174.852,5.71912,1677831,16399,0.0455,171.738,0,46.605,53.651,42.9339,27.8909,0.169497,0.184916,2.65125,2.61296,0.017583,0.082417
27,25.2049,175.001,5.71424,1741005,17498,0.042,171.842,0,45.18,53.2308,42.9772,29.7167,0.166789,0.264583,2.71554,2.68279,0.0155,0.073459
28,25.3814,195.641,5.11141,1519799,14721,0.032667,192.427,0,48.0011,51.0525,64.9806,27.7227,0.168375,0.203416,2.78625,2.75958,0.015084,0.0665
29,25.5822,189.215,5.28498,1131131,10641,0.029416,186.2,0,47.8098,51.5059,59.13,27.0787,0.186041,0.195792,2.65137,2.62975,0.010667,0.062417
