frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,mesh_upload,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,render_total,scene_draw,debug_draw,imgui_draw
7,54.1029,132.318,7.55756,37869,419,0.027459,129.269,0,44.8337,51.5672,15.1573,17.0456,0.192497,0.198834,2.68183,2.65942,0.011125,0.055666
8,54.2363,145.628,6.8668,54875,428,0.027041,142.481,0,44.9747,51.1031,20.9802,24.6945,0.165544,0.273209,2.76613,2.74546,0.010375,0.051916
9,54.3829,148.232,6.74616,58913,576,0.040416,145.011,0,45.4528,52.387,21.5161,24.9883,0.169172,0.199458,2.78625,2.75208,0.011959,0.065375
10,54.5326,149.416,6.69273,60301,728,0.041625,146.236,0.706208,45.8934,54.6717,21.5403,22.7553,0.183039,0.191917,2.70446,2.67054,0.015459,0.073667
11,54.6836,146.091,6.84503,60790,698,0.028833,143.081,0,45.0478,53.3173,21.4871,22.5752,0.169585,0.193792,2.63579,2.61242,0.010792,0.0585
12,54.8362,148.216,6.74693,59670,684,0.036916,145.069,0,47.2996,52.8767,21.6541,22.5848,0.168835,0.197209,2.73604,2.70642,0.013959,0.067334
13,54.9859,149.094,6.70718,64960,726,0.028,146.003,0,45.2613,55.1986,22.1148,22.7665,0.173331,0.19425,2.687,2.66387,0.0095,0.058417
14,55.136,146.99,6.80321,69914,762,0.027875,143.973,0,46.88,51.3323,21.8783,23.2234,0.166536,0.192291,2.62075,2.60137,0.009542,0.058916
15,55.2841,145.153,6.88927,76633,683,0.026291,142.221,0,44.88,51.1738,22.2494,23.2371,0.181868,0.200708,2.55033,2.52871,0.010666,0.054708
16,55.436,149.897,6.67127,81585,739,0.043291,146.777,0,45.4296,55.9907,22.0765,22.6186,0.173994,0.197417,2.69225,2.65979,0.014791,0.071708
17,55.5874,148.084,6.75294,89135,980,0.037208,144.956,0,45.4905,51.6924,24.2504,22.8627,0.168372,0.199,2.66917,2.63687,0.01375,0.07125
18,55.7371,150.036,6.66505,100168,1076,0.031667,147.028,0,47.0622,52.6735,23.8445,22.8027,0.16475,0.190125,2.62825,2.606,0.011375,0.061958
19,55.8883,164.892,6.06458,289817,2346,0.026125,161.853,0,47.2065,50.9595,38.2588,24.7619,0.166455,0.190417,2.63779,2.61821,0.0105,0.0615
20,56.0543,176.967,5.65078,504251,4452,0.0525,173.559,0.835709,44.4955,58.4663,43.0256,26.0332,0.202621,0.197459,2.90471,2.86479,0.017708,0.0845
21,56.2402,183.48,5.45018,1012795,8140,0.030917,180.42,0,46.0427,59.1733,47.5041,27.0265,0.171123,0.197458,2.65362,2.63008,0.012166,0.071208
22,56.425,178.815,5.59237,1543009,13346,0.04425,175.708,0,45.768,55.4247,46.1495,27.677,0.168961,0.200333,2.6075,2.574,0.016166,0.077458
23,56.6054,171.933,5.81621,1739174,16216,0.044458,168.771,0,46.4746,53.249,40.729,27.6356,0.182962,0.198917,2.69779,2.6645,0.015417,0.074709
24,56.7781,171.554,5.82906,1875362,18401,0.028917,168.366,0,46.2897,53.212,40.4262,27.7668,0.164916,0.194959,2.77483,2.74996,0.016083,0.071375
25,56.9502,174.994,5.71448,2141055,22107,0.031458,171.947,0,45.9988,50.7549,44.2308,30.2892,0.163459,0.195792,2.63683,2.61496,0.010584,0.067
26,57.1267,179.591,5.56822,2195931,21983,0.036417,176.541,0,46.4971,52.2062,46.8127,30.3603,0.166338,0.1975,2.67238,2.64875,0.013375,0.063166
27,57.3076,175.31,5.70418,1875178,18731,0.033667,172.295,0,48.075,51.0718,44.4385,28.0294,0.167995,0.199041,2.61275,2.5885,0.012708,0.061042
28,57.4842,173.983,5.74769,1338562,13772,0.039208,170.868,0,48.1084,52.0021,42.4367,27.619,0.187505,0.198708,2.65767,2.62829,0.014792,0.073709
29,57.6598,169.661,5.8941,983900,10337,0.034833,166.658,0,45.3156,51.558,41.6533,27.4625,0.16912,0.19575,2.596,2.57362,0.012916,0.070167
0,72.6339,206.867,4.83403,0,0,0.060958,202.58,0.06575,1.19158,111.349,88.1485,0.012709,1.02342,0.279166,3.75267,3.71679,0.0075,0.079917
1,72.8428,98.6026,10.1417,0,0,0.027083,95.5313,0,1.59938,44.583,47.8198,0.006047,0.906711,0.196666,2.66021,2.64425,0.005167,0.054042
2,72.9424,96.1065,10.4051,0,0,0.023083,93.0721,0,1.64146,41.4099,48.5536,0.005332,0.834878,0.224,2.66463,2.65108,0.005417,0.049792
3,73.0398,93.0222,10.7501,0,0,0.026584,90.0781,0,1.69062,40.2038,46.702,0.005585,0.858544,0.209084,2.57892,2.56417,0.005042,0.050916
4,73.1338,90.5662,11.0417,0,0,0.027709,87.6021,0,1.67946,39.5098,44.9306,0.005042,0.847049,0.227083,2.60504,2.58925,0.005125,0.0495
5,73.2255,91.2124,10.9634,0,0,0.025459,88.1633,0,1.62426,39.2857,45.7906,0.005837,0.845373,0.212333,2.68342,2.66942,0.004708,0.051875
6,73.3177,90.9988,10.9892,0,0,0.022708,85.9935,0,1.71929,39.3024,43.4641,0.006289,0.876664,0.217542,4.66892,4.65633,0.004625,0.047792
7,73.4097,114.294,8.74937,37014,405,0.02825,111.064,0,0.737913,37.9519,53.3351,18.136,0.389251,0.184709,2.84675,2.81917,0.01425,0.059833
8,73.5256,128.523,7.78071,55364,473,0.040333,125.393,0,0.372207,38.5366,58.4315,27.3885,0.16721,0.196792,2.70975,2.67567,0.013584,0.064959
9,73.6556,126.66,7.89513,58982,551,0.038459,123.555,0,0.369081,38.4879,59.3102,24.7323,0.176207,0.178667,2.64879,2.61592,0.012875,0.066041
10,73.7837,126.618,7.89776,61334,777,0.030875,123.507,0.022542,0.361958,38.08,58.2666,26.1095,0.165876,0.189417,2.68583,2.65892,0.011417,0.055458
11,73.9109,129.658,7.7126,62204,724,0.03525,126.576,0,0.375706,38.4167,60.2853,26.8129,0.184538,0.182333,2.67437,2.64962,0.012167,0.067
12,74.0411,125.68,7.9567,64325,722,0.024167,122.701,0,0.377166,38.1734,58.6927,24.7925,0.172038,0.188375,2.61896,2.60058,0.008708,0.054791
13,74.1674,129.078,7.74727,67504,896,0.027,126.113,0,0.370872,38.203,59.5248,27.3434,0.175748,0.190084,2.60517,2.58258,0.012667,0.053083
14,74.3019,127.187,7.86241,71140,960,0.038333,123.961,0,0.381835,39.2293,58.8552,24.8338,0.189875,0.175542,2.78371,2.73817,0.018625,0.083292
15,74.4385,133.814,7.47306,77839,783,0.042834,130.583,0,0.398293,45.2345,59.5763,24.6546,0.221833,0.189709,2.74267,2.69667,0.01625,0.081084
16,74.574,129.36,7.73034,82716,961,0.043459,126.242,0,0.376584,40.0826,58.8069,26.311,0.171663,0.192584,2.68254,2.64933,0.0135,0.070541
17,74.7048,126.088,7.93095,86638,1144,0.029916,122.93,0,0.36279,38.8334,58.5078,24.5614,0.170251,0.192333,2.72121,2.69725,0.011417,0.06875
18,74.837,129.835,7.70209,104402,1025,0.044459,126.738,0,0.375665,40.0881,60.9591,24.6499,0.175918,0.187083,2.66829,2.641,0.012541,0.068083
19,74.9683,132.831,7.52835,222861,2264,0.030625,129.779,0,0.372669,38.7694,63.1578,26.8158,0.174832,0.187042,2.63238,2.61067,0.011709,0.072
