frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.321623,86.8315,11.5166,0,0,75.0419,2.46696,36.0928,35.6039,0.006582,0.002124,0.35192,0.177,0.127584,8.69662,8.08621,0.587125,0.62425
1,0.480604,92.6745,10.7904,0,0,87.4428,0,41.6831,44.6786,0.011461,0.006584,0.498871,0.224084,0.245333,4.50175,4.47492,0.003708,0.086166
2,0.584115,88.9367,11.244,0,0,84.3385,0,43.8206,39.6643,0.00696,0.004167,0.310295,0.229417,0.035916,4.18225,4.16279,0.00425,0.049834
3,0.677589,85.9791,11.6307,0,0,81.3849,0,41.9156,38.697,0.003413,0.001541,0.23746,0.224375,0.035208,4.16142,4.14,0.002125,0.042333
4,0.769015,87.5718,11.4192,0,0,82.9218,0,38.8701,43.2375,0.005123,0.001997,0.266331,0.245625,0.033,4.17779,4.15217,0.005375,0.087125
5,0.860337,86.6175,11.545,0,0,81.8904,0,42.9117,38.2035,0.00442,0.001624,0.23446,0.225875,0.039333,4.26112,4.23575,0.003792,0.050042
6,0.950575,88.1622,11.3427,0,0,83.037,0,41.5614,40.6253,0.003296,0.001455,0.250248,0.250458,0.037375,4.57625,4.54779,0.004041,0.068041
7,1.04138,162.113,6.16854,37858,417,156.56,0,40.0192,40.3248,39.5285,35.727,0.311295,0.248375,0.042875,4.93254,4.28758,0.619125,0.070584
8,1.21155,203.237,4.92035,55222,429,197.295,0,48.6971,40.3631,56.4682,50.6101,0.263043,0.447458,0.048292,5.29242,5.21537,0.031125,0.05975
9,1.41745,177.809,5.62401,58787,563,174.287,0,42.9026,42.827,45.3839,42.2694,0.353125,0.19775,0.0345,2.99229,2.96008,0.014417,0.038625
10,1.5962,105.838,9.44839,60067,726,100.859,1.29608,25.8326,26.5262,21.984,24.5947,0.169958,0.185667,0.027333,4.55871,4.524,0.022,0.0405
11,1.70389,102.626,9.74414,60696,693,99.3466,0,26.9645,26.6447,21.632,23.4673,0.177118,0.189917,0.026,2.91942,2.8905,0.015417,0.039959
12,1.80742,128.178,7.80164,60053,650,122.742,0,32.5203,30.6408,28.4388,30.0793,0.273292,0.258625,0.045542,4.73475,4.68804,0.022125,0.058291
13,1.93809,156.029,6.40908,63936,727,152.699,0,37.818,37.3265,37.572,39.2178,0.242125,0.192,0.025,2.85621,2.82187,0.020083,0.041125
14,2.09618,104.336,9.58444,70487,720,101.041,0,28.3226,27.1335,22.2995,22.6433,0.170289,0.195375,0.029084,2.91075,2.88117,0.013375,0.03325
15,2.2024,106.276,9.40948,75636,680,103.024,0,26.3906,29.4692,22.7775,23.752,0.165998,0.198,0.025458,2.90488,2.87775,0.0125,0.031417
16,2.31049,102.796,9.72804,79656,757,99.4521,0,26.9397,26.7796,22.2089,22.8853,0.17146,0.192667,0.027625,2.973,2.94404,0.011625,0.037458
17,2.41823,103.506,9.66124,87614,963,100.266,0,27.014,27.0047,22.6867,22.8964,0.179587,0.196667,0.026042,2.82112,2.8005,0.008084,0.03
18,2.52353,104.5,9.5694,95613,1076,101.221,0,26.5333,27.0263,22.1511,24.8538,0.191202,0.194875,0.028291,2.92704,2.90238,0.008375,0.029916
19,2.62998,114.086,8.76529,248071,2434,110.683,0,26.55,29.1132,30.7393,23.6131,0.16771,0.192791,0.031459,2.99912,2.97029,0.011333,0.037541
20,2.74591,126.521,7.90382,463236,4371,122.584,0.927458,29.7087,28.0845,37.7885,25.294,0.198959,0.213584,0.037709,3.42846,3.39062,0.013958,0.046
21,2.87551,191.459,5.22304,949949,8247,188.166,0,35.4862,34.1187,80.1702,37.5607,0.321251,0.188292,0.029416,2.89233,2.86687,0.009625,0.035375
22,3.06885,139.683,7.15907,1509303,12485,136.403,0,26.5392,27.3203,52.6105,29.2842,0.168957,0.199166,0.027083,2.91629,2.89033,0.011,0.035042
23,3.21041,133.781,7.47488,1671222,14934,130.452,0,27.6901,28.1381,44.3152,29.6539,0.170209,0.199791,0.025916,2.96762,2.941,0.010709,0.032458
24,3.34918,134.363,7.4425,1832132,18967,131.078,0,27.0198,28.9255,46.3637,28.1142,0.177331,0.197,0.027125,2.93887,2.91646,0.01025,0.035125
25,3.48736,132.356,7.55541,2046712,21691,129.091,0,26.9429,26.9154,44.7465,29.8378,0.169209,0.199958,0.026375,2.90246,2.87208,0.015958,0.041166
26,3.62158,134.64,7.42721,2241113,22914,131.343,0,28.9274,27.6176,46.1965,27.9475,0.172248,0.200083,0.029542,2.92371,2.89179,0.014542,0.034125
27,3.75774,138.172,7.23736,1988057,19985,134.171,0,29.5123,28.019,47.3447,28.4148,0.236622,0.214125,0.037791,3.39475,3.35021,0.020666,0.0475
28,3.89771,149.36,6.69523,1622032,16416,145.83,0,29.2473,29.4926,50.9665,35.3928,0.194417,0.198083,0.027667,2.99829,2.97112,0.013583,0.032875
29,4.04903,127.097,7.86798,1175929,11878,123.818,0,26.9112,27.1377,39.4432,29.6835,0.166831,0.197292,0.027708,2.91983,2.88963,0.015375,0.033417
