frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.315391,79.994,12.5009,0,0,68.3287,2.10962,32.3432,32.9762,0.006287,0.002749,0.365874,0.180833,0.133584,8.584,7.94287,0.62175,0.601292
1,0.471422,71.7766,13.9321,0,0,67.3046,0,34.4793,32.0526,0.004047,0.002254,0.24875,0.208375,0.256875,3.7065,3.67879,0.003375,0.081625
2,0.548103,68.5699,14.5837,0,0,64.8072,0,31.5634,32.4833,0.003502,0.001457,0.250498,0.206042,0.034625,3.34233,3.32029,0.002834,0.042
3,0.619666,76.3877,13.0911,0,0,71.7239,0,34.4473,36.4995,0.002666,0.001123,0.235249,0.235417,0.03475,4.21867,4.19358,0.003292,0.053459
4,0.698968,85.9553,11.634,0,0,80.9413,0,38.815,41.2901,0.001919,0.001541,0.229581,0.248583,0.039,4.4835,4.46158,0.002875,0.070917
5,0.792408,86.8851,11.5094,0,0,81.388,0,41.4745,39.0177,0.006039,0.002877,0.305792,0.235334,0.055208,4.957,4.91958,0.005875,0.059208
6,0.883104,87.6082,11.4145,0,0,82.4594,0,40.8261,40.7925,0.005585,0.003295,0.272248,0.234,0.042167,4.66792,4.6345,0.004333,0.051041
7,0.974696,161.145,6.20561,37858,417,152.591,0,43.4776,37.3459,38.8464,32.0725,0.255791,0.205167,0.038042,8.01404,7.52033,0.468083,0.0565
8,1.1395,182.413,5.48205,55222,429,177.401,0,39.9787,39.8195,52.5845,44.1429,0.231335,0.263083,0.03525,4.49688,4.44254,0.030292,0.056
9,1.32586,189.635,5.2733,58889,589,186.011,0,42.8122,43.1022,53.4943,45.6896,0.302752,0.262708,0.040208,3.1615,3.12596,0.014208,0.039
10,1.51698,133.816,7.47295,60051,728,128.472,1.13554,30.3105,31.2094,31.2528,33.6366,0.251622,0.264333,0.041959,4.71612,4.66788,0.025708,0.066
11,1.6535,214.327,4.66576,61201,667,208.256,0,47.3835,43.9108,61.2627,54.5054,0.281086,0.355958,0.052417,5.237,5.17188,0.0235,0.072333
12,1.87889,201.687,4.95818,62061,654,195.565,0,45.3359,41.9024,55.5514,51.5792,0.344787,0.344083,0.066291,5.35842,5.29196,0.028583,0.068292
13,2.08362,148.964,6.71305,65173,715,145.471,0,36.1754,37.4789,32.5719,38.4661,0.243295,0.198667,0.030875,2.99771,2.96704,0.01325,0.038041
14,2.23356,103.871,9.62733,71472,771,100.49,0,26.7303,27.6175,22.4089,23.0709,0.175834,0.198542,0.027459,2.94808,2.91938,0.012416,0.035084
15,2.33945,105.507,9.47801,76839,752,102.186,0,26.4711,27.1541,23.2452,24.6709,0.177375,0.196792,0.028834,2.93225,2.90475,0.009458,0.034916
16,2.44657,107.401,9.31089,82835,898,103.981,0,27.605,28.4934,24.1761,23.0768,0.164585,0.196625,0.026083,3.03133,3.00975,0.008042,0.031542
17,2.55584,106.014,9.43269,87307,921,102.703,0,29.3895,26.9331,22.6317,23.1072,0.174915,0.198083,0.028166,2.94983,2.92296,0.012208,0.031541
18,2.66376,105.545,9.4746,97734,864,102.085,0,26.4282,29.9444,22.058,22.9964,0.191125,0.198042,0.030041,3.09587,3.07033,0.011875,0.035667
19,2.77111,111.59,8.96134,232117,2423,108.312,0,26.2695,29.2172,27.9349,24.2499,0.170037,0.197375,0.027542,2.91683,2.89429,0.009292,0.034583
20,2.8837,144.6,6.91563,467111,4566,139.929,1.39383,29.651,30.824,45.573,31.4414,0.259207,0.260334,0.048334,3.93258,3.88383,0.018291,0.057042
21,3.03004,177.129,5.64561,905703,7819,173.778,0,34.4218,34.1625,69.1187,35.2897,0.26354,0.190834,0.027292,2.89954,2.87671,0.008834,0.030333
22,3.20827,141.03,7.09067,1498986,12555,137.658,0,26.533,27.1594,54.2178,29.0662,0.165464,0.201291,0.0305,2.92479,2.89621,0.01225,0.037125
23,3.35127,130.91,7.63883,1667065,15301,127.641,0,26.875,28.1222,41.8862,30.1034,0.168371,0.2005,0.02775,2.91133,2.88612,0.009875,0.033166
24,3.48317,130.612,7.65625,1780176,18029,127.265,0,27.2696,29.4392,41.9412,27.9472,0.167961,0.20325,0.027,2.94067,2.91758,0.009541,0.03025
25,3.61575,132.283,7.55953,1886894,19174,128.985,0,26.7562,29.1985,43.6359,28.7562,0.16312,0.200459,0.023042,2.96733,2.9495,0.008875,0.026917
26,3.75031,132.776,7.53147,1995917,19741,129.511,0,29.2257,27.3015,44.3736,27.9583,0.169876,0.199791,0.032792,2.91487,2.88971,0.009708,0.030083
27,3.88403,149.599,6.68455,1914600,19059,146.071,0,29.4946,29.3129,51.5127,34.9125,0.263543,0.197208,0.030291,3.03225,2.99704,0.018209,0.037125
28,4.03467,125.295,7.98119,1461302,15189,121.854,0,27.0168,27.6191,36.7696,29.6909,0.213338,0.238,0.031875,2.98792,2.95367,0.017916,0.039333
29,4.16102,124.265,8.04732,1294771,12732,120.916,0,27.1277,27.2733,36.9004,28.9463,0.169833,0.201667,0.02675,2.92571,2.89858,0.013291,0.037459
