frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.318039,83.2392,12.0136,0,0,71.0471,1.82654,34.9582,33.3526,0.005998,0.001916,0.365126,0.193042,0.12,9.04442,8.34842,0.674541,0.71375
1,0.469283,70.2523,14.2344,0,0,65.7691,0,33.0293,31.9183,0.005792,0.003458,0.266169,0.236125,0.235,3.77308,3.74487,0.003542,0.081792
2,0.543409,66.135,15.1206,0,0,62.361,0,30.7185,30.8944,0.003293,0.001375,0.236006,0.204458,0.033125,3.34817,3.32888,0.002292,0.043
3,0.624974,71.3921,14.0072,0,0,67.2812,0,33.3617,33.0456,0.005202,0.004543,0.296789,0.229958,0.041958,3.64808,3.62162,0.004417,0.053666
4,0.699357,84.8992,11.7787,0,0,80.2182,0,40.1543,39.2418,0.004457,0.00204,0.269086,0.243958,0.034125,4.22071,4.19767,0.003709,0.069708
5,0.79232,95.0751,10.518,0,0,89.9471,0,42.1619,46.9286,0.002711,0.001252,0.233955,0.281958,0.035125,4.64238,4.617,0.003959,0.050375
6,0.894151,88.4078,11.3112,0,0,80.4308,0,41.0871,38.4993,0.00529,0.002997,0.27788,0.227458,0.045958,7.47438,7.44408,0.0085,0.079708
7,0.985218,161.43,6.19463,37859,417,155.625,0,45.4697,37.7497,39.3379,32.1645,0.246414,0.246958,0.041833,5.19817,4.65146,0.519042,0.053833
8,1.14922,187.004,5.34749,55363,438,182.497,0,43.1801,39.9445,50.8512,47.4496,0.288873,0.335666,0.046833,3.89533,3.85062,0.018917,0.041833
9,1.34913,174.557,5.72879,59648,600,168.591,0,42.7832,38.3062,40.454,45.8185,0.34179,0.382,0.066208,5.19492,5.13338,0.0215,0.07575
10,1.52826,252.08,3.967,62155,783,246.292,2.37592,61.5682,54.7223,59.7773,65.2117,0.432621,1.43192,0.061917,4.73417,4.67892,0.02075,0.096417
11,1.78341,163.462,6.11764,64843,851,157.624,0,37.6343,38.0254,41.7957,39.2539,0.365627,0.184834,0.023334,5.16846,5.14446,0.012458,0.027958
12,1.94886,104.276,9.58992,65876,799,100.92,0,26.5728,26.9785,22.7672,23.9392,0.199665,0.184583,0.032916,2.97504,2.9435,0.013958,0.032208
13,2.06115,137.546,7.27031,70024,807,130.664,0,31.7549,32.9391,31.602,33.4345,0.26558,0.268958,0.040208,6.31179,6.27679,0.014375,0.050333
14,2.20166,108.36,9.22851,77534,963,104.885,0,27.7668,28.1702,24.5742,23.721,0.185589,0.1875,0.030667,3.05875,3.02879,0.011458,0.037375
15,2.3146,104.863,9.53629,82778,994,101.439,0,26.7139,27.4104,23.3702,23.2929,0.178369,0.197458,0.029917,3.03808,2.99987,0.019834,0.046916
16,2.42728,115.739,8.64013,88943,1137,112.362,0,28.258,29.4468,26.3544,27.5902,0.209382,0.192,0.029208,2.91042,2.88413,0.009792,0.034125
17,2.5449,105.328,9.49418,93869,1193,102.068,0,28.5596,27.4953,22.4893,22.8922,0.174708,0.188125,0.032,2.89712,2.86733,0.015,0.03425
18,2.6513,105.589,9.47068,107423,1538,102.079,0,26.214,28.9612,23.0029,23.2168,0.19092,0.187167,0.028833,3.07121,3.04071,0.011667,0.033875
19,2.75781,113.203,8.83368,256941,2804,109.651,0,28.5434,29.1721,27.7306,23.5435,0.160541,0.196292,0.028291,3.116,3.09017,0.009583,0.033333
20,2.87203,124.405,8.03828,459352,3967,121.046,1.40292,27.3209,26.8567,38.2179,26.5802,0.187536,0.194916,0.028709,2.93721,2.90833,0.01275,0.038959
21,2.9983,157.965,6.33052,905606,6435,151.925,0,29.0603,29.876,59.4555,32.3136,0.296665,0.247875,0.095083,4.95646,4.85504,0.059625,0.147459
22,3.16265,393.522,2.54115,1165968,9643,385.664,0,69.8362,64.7767,173.494,74.8547,1.23537,0.266167,0.119667,6.44154,6.34363,0.046917,0.141334
23,3.56069,359.562,2.78116,1257826,12820,351.713,0,72.8546,67.3566,130.662,77.1042,1.24692,0.614209,0.148458,5.64242,5.50342,0.071291,0.186292
24,3.92556,301.726,3.31426,1290825,14490,294.939,0,57.505,56.3613,112.311,66.4522,0.903338,0.508375,0.085667,5.65738,5.5775,0.032167,0.090375
25,4.23188,212.758,4.70018,1781047,18582,209.378,0,46.5799,45.3828,70.027,46.4708,0.356001,0.202209,0.032083,2.931,2.89917,0.013375,0.040375
26,4.44645,129.279,7.73524,2196790,23074,125.908,0,26.735,26.5983,44.1885,27.7488,0.173705,0.186708,0.028958,2.98942,2.95942,0.012208,0.037166
27,4.57763,129.57,7.71785,1956819,20476,126.278,0,28.7727,27.2982,41.7516,27.7593,0.217791,0.190166,0.029,2.92517,2.89283,0.017334,0.038416
28,4.70909,129.65,7.7131,1446272,15538,126.257,0,27.8635,27.0023,41.0693,29.677,0.170459,0.191459,0.030834,3.00683,2.97371,0.015125,0.036125
29,4.84469,127.12,7.86657,1289264,13470,123.838,0,27.3765,27.346,39.5965,28.8581,0.175375,0.20225,0.027167,2.91442,2.88529,0.014167,0.036292
