frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.313596,81.1872,12.3172,0,0,68.5042,2.83125,32.3404,32.435,0.00825,0.002667,0.352084,0.192,0.1575,9.29988,8.61292,0.667084,0.801208
1,0.461543,73.075,13.6846,0,0,68.6181,0,34.8766,32.9466,0.004833,0.003794,0.274039,0.192334,0.296917,3.67762,3.64908,0.003667,0.082791
2,0.537341,73.2883,13.6447,0,0,69.568,0,36.6886,32.1571,0.002078,0.001419,0.210587,0.210834,0.03475,3.28521,3.26292,0.002875,0.043542
3,0.617135,81.0151,12.3434,0,0,76.37,0,38.9803,36.5648,0.003838,0.001956,0.280581,0.226583,0.039334,4.17154,4.14158,0.004834,0.054584
4,0.702179,82.5085,12.12,0,0,76.5641,0,38.4573,37.321,0.003628,0.001874,0.255457,0.231166,0.035875,5.49054,5.47054,0.002625,0.067
5,0.788289,85.3241,11.72,0,0,80.2653,0,42.96,36.5427,0.002207,0.001496,0.212957,0.233042,0.039666,4.55696,4.52592,0.0045,0.059334
6,0.876464,91.7207,10.9027,0,0,86.4673,0,46.3226,39.2052,0.005294,0.003083,0.260043,0.323167,0.050042,4.70913,4.68267,0.003417,0.061083
7,0.970852,160.934,6.21372,37858,417,155.104,0,41.4925,40.1155,38.9904,33.5953,0.222745,0.304958,0.040375,5.20117,4.64654,0.532583,0.092625
8,1.14005,141.181,7.08311,55225,429,137.681,0,34.851,35.6144,32.8964,33.6234,0.214624,0.187292,0.031333,3.08046,3.04971,0.013,0.038625
9,1.28235,135.667,7.37097,59056,564,130.307,0,32.6092,30.844,32.9428,32.9466,0.288709,0.251959,0.039,4.73763,4.69187,0.019708,0.051084
10,1.42197,225.042,4.44362,61567,773,220.01,2.02654,52.94,47.6918,58.7827,57.6483,0.323002,0.232792,0.040166,4.553,4.51183,0.016666,0.050583
11,1.65078,190.52,5.24879,62163,732,184.539,0,41.9257,41.2906,53.6719,46.3271,0.416545,0.328167,0.064041,5.15858,5.07937,0.037625,0.075875
12,1.8435,129.785,7.70504,63456,737,126.405,0,33.5802,36.6802,26.7065,28.7128,0.22421,0.187458,0.028042,2.87308,2.85267,0.009125,0.034625
13,1.9742,104.537,9.56602,67316,869,101.235,0,27.1946,28.0774,22.0369,23.2892,0.164627,0.191417,0.020083,2.93925,2.92433,0.007208,0.027333
14,2.08583,132.476,7.54853,71786,926,127.952,0,31.1272,33.7898,30.0965,31.8219,0.279417,0.256083,0.05,3.79413,3.74596,0.023209,0.059708
15,2.22145,256.545,3.89795,75974,793,250.507,0,65.1201,55.8614,63.0317,64.6105,0.591794,0.569459,0.066125,5.16108,5.09037,0.032042,0.075208
16,2.48258,260.48,3.83907,81472,808,255.829,0,68.4783,58.2102,63.4115,64.2877,0.5575,0.341709,0.047917,4.05796,4.01608,0.017916,0.05025
17,2.74618,121.178,8.25229,86146,952,117.809,0,33.1937,31.5661,25.4599,26.9136,0.193421,0.19775,0.030209,2.89662,2.86779,0.013042,0.034375
18,2.86923,106.07,9.42777,92167,998,102.792,0,29.6408,27.7474,22.0352,22.7103,0.192088,0.197917,0.030333,2.91363,2.88908,0.008416,0.0315
19,2.97626,111.7,8.95256,229248,2496,108.434,0,28.0666,27.97,26.4912,25.2535,0.170873,0.195125,0.025959,2.87087,2.85179,0.007209,0.028334
20,3.08897,119.449,8.37179,481734,4755,116.145,1.37363,29.0467,27.6012,33.2193,24.256,0.167665,0.198459,0.027291,2.89804,2.87367,0.009416,0.035166
21,3.21035,129.989,7.69298,926630,7702,126.753,0,29.064,27.9789,43.1304,25.9007,0.198041,0.197417,0.026833,2.87242,2.85017,0.008958,0.030916
22,3.34219,240.301,4.16145,1401132,11626,234.059,0,38.9662,37.7059,114.666,40.9498,0.446087,0.576959,0.087833,5.24633,5.168,0.025417,0.081042
23,3.5883,386.58,2.58679,1542332,14460,375.863,0,73.0616,63.7332,158.782,77.3969,1.06846,0.567584,0.196458,9.16437,9.01583,0.093166,0.14975
24,3.97992,321.591,3.10954,1580866,16142,317.982,0,63.0945,60.2529,124.694,68.2638,0.833297,0.278417,0.037417,3.09646,3.06296,0.013375,0.0415
25,4.30344,151.421,6.60412,1511890,16618,145.947,0,31.2371,30.478,50.9981,32.395,0.224333,0.212834,0.040542,4.94054,4.90375,0.013958,0.054
26,4.4573,162.258,6.16301,1823996,18619,158.815,0,30.3416,33.3284,59.1388,35.2885,0.222741,0.1975,0.031458,3.05029,3.02312,0.012417,0.036667
27,4.6215,136.793,7.3103,1923797,18568,133.489,0,26.8006,27.5015,49.4212,29.0352,0.24325,0.198125,0.029916,2.91063,2.87867,0.013667,0.037708
28,4.75931,131.56,7.60112,1449122,14470,128.238,0,27.5486,27.7588,43.0873,29.1751,0.180041,0.190875,0.026666,2.89242,2.85704,0.018375,0.03975
29,4.89243,130.921,7.63817,1176485,11653,127.5,0,29.2877,27.8087,41.9769,27.754,0.172377,0.200666,0.027667,2.99087,2.96104,0.016167,0.038542
