frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.307474,63.3631,15.782,0,0,51.663,2.07221,31.2394,17.4698,0.006794,0.00229,0.360455,0.1775,0.117667,8.70296,8.07387,0.609333,0.634042
1,0.380116,45.7302,21.8674,0,0,41.9472,0,25.6567,15.5713,0.003376,0.001539,0.265211,0.182708,0.188459,3.20067,3.18221,0.002292,0.064541
2,0.428998,44.9895,22.2274,0,0,41.8431,0,25.5501,15.599,0.002871,0.001329,0.243123,0.1805,0.026708,2.78754,2.77071,0.001875,0.033833
3,0.475838,44.456,22.4942,0,0,41.329,0,25.2426,15.4069,0.001998,0.00121,0.240047,0.179291,0.023833,2.79413,2.78158,0.001542,0.033708
4,0.52241,44.3828,22.5313,0,0,41.3408,0,25.2896,15.3713,0.002709,0.001083,0.24112,0.1825,0.019375,2.71408,2.70354,0.002334,0.042833
5,0.568181,44.5714,22.4359,0,0,41.5426,0,25.4059,15.4609,0.002832,0.001127,0.230837,0.180083,0.017917,2.72067,2.71117,0.001333,0.024792
6,0.613975,44.6201,22.4114,0,0,41.5794,0,25.4411,15.4573,0.002334,0.000958,0.232746,0.17875,0.020791,2.71975,2.70875,0.001375,0.026917
7,0.660088,77.2521,12.9446,37858,417,73.6083,0,25.5968,15.5792,15.081,16.5668,0.206581,0.279625,0.030708,3.22746,2.9215,0.28825,0.039292
8,0.738926,89.0705,11.2271,55626,428,85.8461,0,25.7702,15.9106,22.0133,21.5248,0.178619,0.182084,0.02575,2.87312,2.84687,0.013625,0.030958
9,0.829591,87.0745,11.4844,59228,559,83.8552,0,25.2051,15.4796,21.1418,21.3958,0.187792,0.181916,0.024666,2.82646,2.80196,0.012708,0.028916
10,0.918224,87.7062,11.4017,61312,726,84.6331,0.781292,25.5902,15.3934,20.9446,21.3142,0.165131,0.181417,0.021125,2.71975,2.70158,0.009625,0.023416
11,1.00725,87.4413,11.4362,65231,712,84.341,0,25.6382,15.6151,21.0865,21.3815,0.169584,0.181875,0.020917,2.77067,2.74942,0.013708,0.021916
12,1.09589,87.1736,11.4714,68001,784,84.131,0,25.6641,15.367,21.193,21.2815,0.179794,0.179375,0.016584,2.72912,2.71304,0.009542,0.020792
13,1.18427,87.5096,11.4273,71089,836,84.3722,0,25.6445,15.3972,21.251,21.4589,0.167502,0.181583,0.022875,2.807,2.78467,0.011125,0.024917
14,1.2731,88.0144,11.3618,77632,788,84.8348,0,25.6497,15.4183,21.5571,21.581,0.174749,0.182042,0.027791,2.80313,2.77396,0.013333,0.033209
15,1.36286,87.6021,11.4152,83128,920,84.4584,0,25.3097,15.4805,21.6922,21.3578,0.171128,0.180791,0.023709,2.80863,2.78525,0.012125,0.028625
16,1.452,86.8487,11.5143,86660,1079,83.6495,0,25.2987,15.304,21.069,21.3537,0.166499,0.178542,0.021334,2.81196,2.78875,0.012708,0.04325
17,1.54052,86.516,11.5586,93751,1041,83.4682,0,25.3426,15.2649,20.8893,21.3559,0.178582,0.178333,0.021667,2.73158,2.7095,0.01375,0.027875
18,1.62825,87.8666,11.3809,107615,1242,84.7347,0,25.8935,15.3015,21.5312,21.3845,0.166413,0.18175,0.022125,2.78175,2.76454,0.008166,0.025041
19,1.71767,95.9126,10.4262,273716,2664,92.7182,0,25.6487,15.8073,28.0877,22.5259,0.188799,0.180459,0.027917,2.80192,2.777,0.01,0.032458
20,1.81537,104.276,9.58989,479193,4429,100.779,0.715917,25.1118,15.6998,35.3999,23.1625,0.209499,0.179917,0.031917,3.07242,3.04017,0.012875,0.04225
21,1.9215,117.461,8.51345,1014733,8585,114.345,0,25.5204,15.5523,47.8264,24.8063,0.181541,0.180542,0.0305,2.7335,2.70529,0.01075,0.035791
22,2.04074,117.632,8.50106,1413136,12555,114.472,0,25.566,15.4078,47.1732,25.6964,0.168834,0.183458,0.027375,2.78987,2.76479,0.01025,0.03175
23,2.1601,112.706,8.87267,1554400,14780,109.489,0,25.5104,15.6442,41.7729,25.9108,0.19071,0.181542,0.030292,2.83883,2.80504,0.017,0.035625
24,2.27455,111.85,8.94051,1579634,15372,108.724,0,25.433,15.3364,41.5462,25.7804,0.169748,0.185083,0.025,2.78121,2.75892,0.009542,0.029375
25,2.38802,114.283,8.7502,1684688,16945,111.043,0,25.4232,15.3529,43.6941,25.9348,0.180916,0.1855,0.02025,2.89412,2.87175,0.012166,0.033208
26,2.50314,117.189,8.53323,1743100,17616,114.02,0,26.0424,15.3585,45.9163,26.064,0.170669,0.183625,0.028083,2.81229,2.78346,0.014875,0.030791
27,2.62208,120.61,8.29115,1648965,15754,117.408,0,25.605,15.4527,49.8397,25.8837,0.170167,0.182375,0.024708,2.86037,2.83192,0.01575,0.035958
28,2.74437,117.069,8.54195,1479548,13922,113.987,0,25.5717,15.3345,46.7716,25.6846,0.167709,0.183791,0.024458,2.71888,2.69171,0.012958,0.02825
29,2.86302,121.604,8.22344,1250902,12255,118.468,0,25.4212,15.3332,51.7937,25.2854,0.168709,0.183208,0.018083,2.78262,2.76342,0.011042,0.024708
