frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.315746,87.4505,11.435,0,0,75.602,2.45838,37.5404,34.7616,0.00579,0.001999,0.359504,0.189583,0.140333,8.82029,8.13633,0.665333,0.572833
1,0.470894,89.3577,11.191,0,0,83.8152,0,40.6185,42.2381,0.008417,0.004624,0.366083,0.237666,0.301333,4.71204,4.67225,0.00925,0.120375
2,0.569204,85.4043,11.709,0,0,79.46,0,38.496,40.0847,0.007083,0.004998,0.305577,0.223208,0.040458,5.47642,5.45229,0.004333,0.048083
3,0.66092,86.5254,11.5573,0,0,81.584,0,40.7439,39.7707,0.010953,0.005292,0.405425,0.226875,0.063584,4.38112,4.34375,0.005208,0.069583
4,0.753441,83.7238,11.944,0,0,77.6906,0,38.3008,38.5112,0.007333,0.005039,0.295373,0.228958,0.032708,5.53342,5.51004,0.003083,0.068208
5,0.840746,86.4052,11.5734,0,0,81.7827,0,37.0606,43.8753,0.004753,0.002871,0.295332,0.232333,0.032709,4.19383,4.17333,0.002667,0.043375
6,0.93384,83.186,12.0213,0,0,78.2715,0,39.3715,38.1401,0.002665,0.001705,0.211084,0.228916,0.036292,4.40971,4.37737,0.006666,0.062167
7,1.02077,163.396,6.12012,37858,417,157.564,0,44.3625,38.6492,38.7605,34.8322,0.279457,0.2515,0.044667,5.22217,4.64758,0.544917,0.060625
8,1.19502,156.278,6.39884,55264,458,152.5,0,34.5335,37.652,40.9269,38.5359,0.282711,0.203125,0.048709,3.24117,3.19238,0.019,0.045875
9,1.35354,104.871,9.53553,59179,551,101.532,0,26.0787,27.4783,22.5943,24.7037,0.210247,0.1885,0.030958,2.94146,2.90408,0.018875,0.039375
10,1.46032,120.849,8.27476,60811,731,116.053,0.924625,28.0919,30.2802,26.0675,29.8608,0.222505,0.228125,0.038042,4.27417,4.2245,0.024584,0.053416
11,1.58495,216.264,4.62398,62220,732,210.144,0,47.1833,48.6213,56.7259,56.1767,0.315207,0.571,0.074916,5.31225,5.23588,0.032375,0.067417
12,1.8056,196.023,5.10145,62295,669,192.42,0,48.4766,49.5233,45.9588,47.6156,0.336456,0.176625,0.029667,3.18579,3.15325,0.016041,0.037875
13,2.00502,110.529,9.04736,66320,733,107.088,0,28.1542,28.924,24.3872,24.8922,0.228123,0.195125,0.031125,3.0185,2.98567,0.013166,0.039875
14,2.11748,105.669,9.46351,71715,837,102.375,0,27.1006,27.7638,22.644,24.2211,0.172997,0.197958,0.032,2.91183,2.88112,0.014917,0.037667
15,2.22505,105.962,9.43735,77334,806,102.618,0,28.9257,27.4775,22.4546,23.1236,0.168458,0.197334,0.027667,2.96675,2.93425,0.016667,0.040917
16,2.33286,105.51,9.47774,80869,831,102.234,0,28.5499,27.5851,22.3837,23.0852,0.168331,0.186708,0.028583,2.91133,2.87992,0.014584,0.033958
17,2.44024,111.634,8.95788,88101,907,107.039,0,29.077,28.3958,24.1121,24.6105,0.205835,0.232042,0.042208,4.04904,4.00608,0.018958,0.045959
18,2.55425,143.48,6.96962,91726,841,139.606,0,35.2722,33.5249,33.674,36.1373,0.438045,0.1965,0.040292,3.39033,3.34625,0.02025,0.055458
19,2.7005,119.258,8.38518,251427,2556,115.55,0,26.7461,27.6908,29.5998,30.6975,0.274085,0.203291,0.033667,3.24946,3.213,0.013958,0.046458
20,2.82184,129.764,7.70632,441409,4605,126.097,0.967541,29.7832,28.5688,38.3805,27.5453,0.307749,0.197792,0.033833,3.20854,3.169,0.017958,0.051375
21,2.95382,142.24,7.03036,907098,8069,138.898,0,27.4293,27.9647,54.4481,28.2585,0.294333,0.186583,0.031209,2.90996,2.88046,0.01,0.038667
22,3.09824,146.811,6.81148,1334576,11475,143.483,0,27.3262,28.1699,58.8991,28.4227,0.17971,0.19875,0.029583,2.95046,2.92283,0.009458,0.033584
23,3.25333,155.522,6.42997,1698984,15984,152.035,0,29.5821,30.4383,54.6332,36.6218,0.227795,0.199125,0.03575,3.03408,2.99775,0.016,0.042959
24,3.41108,139.272,7.18018,1777177,18081,135.22,0,27.8323,30.2722,45.6873,30.5862,0.207284,0.21925,0.044583,3.48471,3.44733,0.014875,0.050833
25,3.55678,177.286,5.64059,1774590,17752,173.921,0,32.8378,33.1603,66.9544,40.188,0.273042,0.191917,0.030209,2.95942,2.92696,0.015166,0.037208
26,3.73768,135.672,7.3707,1727514,17623,132.326,0,27.3588,27.257,46.1135,30.9195,0.177999,0.197208,0.028583,2.89533,2.86808,0.011125,0.034458
27,3.87501,153.71,6.50577,1836727,17552,150.203,0,27.1905,29.8145,62.5151,30.0112,0.200541,0.186542,0.028,3.088,3.05112,0.020167,0.040791
28,4.03091,135.805,7.36351,1409370,13801,132.31,0,26.0668,26.6826,46.0089,32.7563,0.275915,0.1905,0.034583,3.03817,2.99742,0.021041,0.047625
29,4.16873,137.388,7.27864,971423,10410,132.534,0,28.4783,27.1154,47.296,28.7568,0.267874,0.289959,0.032791,4.42533,4.3715,0.033833,0.050042
