frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.311701,79.55,12.5707,0,0,67.331,2.03071,39.8748,24.5556,0.007713,0.002208,0.340502,0.194458,0.148792,8.87854,8.20871,0.65025,0.661542
1,0.403096,50.6594,19.7397,0,0,46.8273,0,28.5184,17.6116,0.002202,0.00121,0.235035,0.193375,0.174875,3.27879,3.261,0.003417,0.064916
2,0.456033,49.471,20.2139,0,0,46.1911,0,28.6386,16.8467,0.002165,0.001126,0.234789,0.19075,0.033333,2.89504,2.87621,0.003208,0.042083
3,0.509988,48.247,20.7267,0,0,44.8968,0,26.3132,17.8362,0.002045,0.0015,0.27542,0.192375,0.026208,2.978,2.95867,0.003833,0.047292
4,0.562819,50.1837,19.9268,0,0,46.897,0,26.6967,18.0689,0.001836,0.001125,0.23546,1.589,0.026,2.92508,2.91363,0.001583,0.045291
5,0.614434,49.0301,20.3956,0,0,45.2129,0,28.0123,16.4879,0.001669,0.00108,0.231541,0.193333,0.024708,3.45333,3.43775,0.002417,0.036541
6,0.665232,50.4686,19.8143,0,0,46.7882,0,27.9099,18.1615,0.002212,0.001582,0.250758,0.19225,0.027333,3.32925,3.31288,0.002583,0.035875
7,0.717565,84.4626,11.8396,37858,417,80.8424,0,27.8475,17.4291,16.1274,18.7762,0.199001,0.191292,0.02625,3.25783,2.95204,0.291541,0.039
8,0.803553,96.3165,10.3824,55222,429,92.877,0,27.5825,19.4142,21.1475,24.0931,0.177836,0.191292,0.027167,3.06725,3.03071,0.021416,0.042542
9,0.901771,97.6652,10.2391,58962,568,94.0855,0,29.7644,17.5071,21.8362,24.3302,0.182838,0.196333,0.030917,3.19925,3.16729,0.018583,0.041042
10,1.00134,112.993,8.8501,60327,758,109.54,0.7335,31.3599,19.7421,29.4646,27.4509,0.227248,0.231667,0.032084,3.03104,3.00408,0.010917,0.035375
11,1.11646,97.8327,10.2215,61330,717,94.4245,0,28.3118,16.536,23.2106,25.6973,0.180082,0.213958,0.028958,3.02704,2.99771,0.014583,0.036333
12,1.2161,96.3052,10.3837,62012,703,91.885,0,26.268,19.1613,21.4058,24.3135,0.238497,0.197458,0.034875,4.01,3.97529,0.01775,0.041333
13,1.31427,98.5485,10.1473,65900,732,93.6933,0,30.1866,16.5341,21.7433,24.5792,0.180461,0.195791,0.031292,4.45767,4.42263,0.017166,0.040458
14,1.41469,98.2113,10.1821,71918,834,93.4911,0,30.1598,16.0914,22.1491,24.4436,0.176286,0.19475,0.028875,4.289,4.25808,0.014083,0.038375
15,1.51472,98.1091,10.1927,77763,792,93.344,0,29.0649,17.3331,22.5086,23.812,0.168169,0.188375,0.026292,4.40575,4.37729,0.016208,0.034583
16,1.61438,98.1301,10.1906,83162,853,93.4562,0,28.9213,17.8942,22.3837,23.5913,0.171961,0.194,0.031834,4.26262,4.23517,0.014333,0.035917
17,1.71433,97.6826,10.2372,87303,890,92.9316,0,27.9927,16.5371,23.0492,24.7017,0.187789,0.1925,0.025333,4.38279,4.35683,0.012875,0.032542
18,1.81387,97.3365,10.2736,96252,841,92.6438,0,30.0916,16.2347,21.9041,23.7623,0.168502,0.209584,0.020583,4.36242,4.3445,0.007292,0.0305
19,1.91263,102.538,9.75245,246544,2487,99.3147,0,29.5507,16.7042,27.5982,24.7942,0.18171,0.200084,0.032458,2.80708,2.78196,0.010125,0.036125
20,2.01698,157.193,6.36159,417935,4358,153.599,0.710417,36.6064,22.1248,58.1222,35.1799,0.281626,0.253875,0.035292,3.18417,3.15163,0.015125,0.040584
21,2.1774,129.407,7.72753,875252,7601,125.925,0,29.7218,17.0577,50.625,27.8416,0.172996,0.198,0.033458,3.03067,3.00163,0.010583,0.035125
22,2.31091,129.276,7.73538,1426884,12153,126.003,0,29.0878,16.2015,50.5987,29.4665,0.173504,0.200041,0.024625,2.92625,2.90571,0.008833,0.03075
23,2.44358,122.089,8.19074,1723969,15657,118.79,0,27.9131,17.4315,43.3108,29.4813,0.176122,0.198917,0.02925,2.93204,2.90758,0.010042,0.033709
24,2.56747,122.917,8.13559,1808679,17684,119.584,0,29.4602,16.1819,42.0196,31.2682,0.173834,0.199583,0.027375,2.97613,2.95208,0.010458,0.0335
25,2.69438,127.306,7.85509,2039205,20984,123.986,0,29.146,18.1118,45.5219,30.5302,0.198583,0.198,0.029541,2.95788,2.93196,0.01175,0.031833
26,2.82258,124.903,8.00621,2141328,21072,121.627,0,27.9729,18.5693,43.0099,31.4147,0.167749,0.20025,0.025834,2.85908,2.835,0.010417,0.029125
27,2.94934,126.358,7.91405,2075514,20400,122.803,0,27.5671,17.7262,45.5318,31.2963,0.193457,0.189541,0.033,3.14138,3.10308,0.021625,0.041375
28,3.07924,121.642,8.22083,1735844,17470,118.17,0,28.8725,16.2803,41.4421,30.926,0.179872,0.188792,0.029708,3.10217,3.07129,0.016083,0.035083
29,3.20273,118.411,8.44516,1370490,13516,115.078,0,29.7115,17.794,37.8379,29.1003,0.169372,0.185791,0.026958,2.96954,2.9415,0.014125,0.032167
