frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.312916,85.2902,11.7247,0,0,72.7782,2.48504,34.846,34.5871,0.00699,0.001833,0.372791,0.185459,0.129458,9.21138,8.48663,0.705,0.788125
1,0.468967,88.3964,11.3127,0,0,83.0447,0,41.3799,40.8278,0.00638,0.002705,0.268002,0.244916,0.255542,4.57879,4.55,0.00375,0.090292
2,0.565909,83.9817,11.9074,0,0,79.3872,0,41.2977,37.2423,0.006289,0.003125,0.292956,0.223042,0.037542,4.15508,4.13221,0.003459,0.046084
3,0.653273,82.8141,12.0752,0,0,78.1082,0,41.3176,35.9788,0.002416,0.00125,0.244707,0.247709,0.032,4.19954,4.17829,0.003375,0.046
4,0.743164,83.578,11.9649,0,0,78.702,0,38.0857,39.781,0.003377,0.001832,0.304325,0.2355,0.032041,4.33229,4.30796,0.00325,0.063083
5,0.829233,85.146,11.7445,0,0,80.3368,0,40.09,39.4366,0.003414,0.001793,0.247919,0.235084,0.038125,4.32608,4.30129,0.002959,0.0465
6,0.917122,85.2703,11.7274,0,0,80.1756,0,39.1562,40.1945,0.002868,0.001376,0.222584,0.24175,0.043042,4.55179,4.52075,0.003583,0.054583
7,1.00931,164.649,6.07354,37825,417,158.528,0,40.4248,41.8729,39.4197,35.5682,0.274668,0.53975,0.050333,5.50858,5.00687,0.47425,0.053834
8,1.17809,233.887,4.27558,55256,465,229.151,0,53.9728,57.3056,57.1918,59.553,0.344666,0.331958,0.057125,4.13625,4.08529,0.021708,0.051333
9,1.41954,114.419,8.73983,59025,567,110.978,0,28.4604,31.6282,23.2522,26.9425,0.209626,0.19175,0.033917,3.00475,2.97617,0.011584,0.03175
10,1.53491,114.566,8.72858,60591,753,110.213,1.24188,27.9898,30.4728,23.7756,25.8443,0.227796,0.209667,0.048291,3.66721,3.62167,0.015459,0.049584
11,1.65072,129.04,7.74955,60240,676,125.536,0,30.6768,32.5433,29.0006,32.554,0.229958,0.196542,0.032791,3.01767,2.98438,0.018166,0.035375
12,1.78184,106.901,9.35447,60046,669,103.476,0,26.7166,30.4639,22.5704,23.0463,0.205709,0.197417,0.032333,3.03671,2.99912,0.021167,0.039208
13,1.89061,104.959,9.5275,64317,716,99.7251,0,26.4762,27.125,22.2574,23.2312,0.17004,0.189125,0.029375,4.88417,4.859,0.012583,0.029959
14,1.99737,103.151,9.6945,69996,725,99.8808,0,26.7401,27.2084,22.5152,22.7874,0.169583,0.188833,0.028958,2.89925,2.87237,0.012,0.038
15,2.10149,105.711,9.45978,75945,699,102.332,0,28.8738,27.1634,22.5384,23.11,0.165086,0.197625,0.027417,2.95838,2.92988,0.014333,0.04525
16,2.20819,105.096,9.51507,83804,861,101.753,0,28.791,27.1275,22.2667,22.9203,0.165796,0.198041,0.025584,2.94308,2.921,0.008792,0.031458
17,2.31433,105.781,9.45352,93972,1098,102.435,0,26.6175,29.5442,22.3816,23.2392,0.167711,0.192625,0.032084,2.91504,2.88383,0.01475,0.038666
18,2.42576,106.208,9.41545,102628,1181,102.785,0,29.5348,27.2106,22.5807,22.8111,0.19271,0.185,0.027916,3.04933,3.02663,0.008583,0.035125
19,2.53381,137.448,7.2755,246145,2480,132.377,0,31.4559,30.9177,40.5469,28.2621,0.260997,0.263333,0.102208,4.03346,3.95325,0.035667,0.103667
20,2.67571,367.203,2.72329,522810,4598,360.58,2.56204,68.1039,60.7298,158.787,68.0477,0.855084,0.556667,0.133542,5.35946,5.27183,0.024792,0.081291
21,3.04807,396.518,2.52195,982863,8149,387.761,0,72.6386,61.1353,175.779,75.4249,1.18634,0.563375,0.157792,7.195,6.91867,0.204875,0.216083
22,3.44957,309.31,3.233,1270998,11301,303.899,0,49.103,47.2505,151.19,54.5871,0.823664,0.255333,0.047333,4.68446,4.62863,0.024084,0.076083
23,3.76355,311.87,3.20647,1697730,15691,306.072,0,57.1535,52.6101,129.852,64.9335,0.43679,0.346959,0.08675,4.79479,4.72004,0.025667,0.094458
24,4.08323,384.762,2.59901,1723295,16946,375.485,0,75.8183,71.3644,143.337,81.7093,1.36438,0.568292,0.178084,7.49921,7.38346,0.058917,0.148625
25,4.48252,345.451,2.89477,1945361,19925,338.258,0,62.9732,54.982,147.356,70.7645,0.664128,0.552166,0.156167,5.664,5.52621,0.059,0.182292
26,4.83285,364.811,2.74115,2148737,21636,360.018,0,64.3857,63.424,150.716,79.4417,0.996168,0.336292,0.058958,4.07937,4.01333,0.035875,0.064459
27,5.20062,379.368,2.63596,1884530,18478,372.253,0,77.6408,69.9474,142.401,78.768,1.51658,0.659208,0.152334,5.63146,5.48367,0.076167,0.122375
28,5.58494,344.367,2.90388,1446562,13917,337.412,0,68.6059,59.7248,139.271,67.2986,0.833458,0.601333,0.146708,5.38079,5.20488,0.116833,0.221625
29,5.93484,378.65,2.64096,1013479,9311,370.874,0,77.9975,74.0555,136.877,79.0444,1.12792,0.662333,0.157,6.33921,6.20937,0.060458,0.097875
