frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.333241,87.9356,11.372,0,0,73.7766,2.61592,37.4569,32.8766,0.005996,0.001713,0.354834,0.160625,0.129667,9.95746,8.42258,1.51513,0.745834
1,0.491186,72.0408,13.881,0,0,67.8005,0,32.1915,34.8055,0.004536,0.00246,0.296499,0.1985,0.253,3.50296,3.47587,0.003,0.082583
2,0.565108,76.6142,13.0524,0,0,70.6391,0,36.8542,33.0307,0.002634,0.001705,0.221664,0.230709,0.0345,5.52425,5.5035,0.002083,0.040583
3,0.648686,86.493,11.5616,0,0,81.8742,0,39.4176,41.472,0.006461,0.003838,0.418831,0.22425,0.044042,4.14421,4.11712,0.003208,0.047
4,0.741696,86.0491,11.6213,0,0,81.4315,0,39.6832,40.9507,0.003372,0.002086,0.249832,0.244,0.031625,4.15879,4.13829,0.002541,0.061625
5,0.831387,85.4555,11.702,0,0,80.8419,0,41.9263,38.1123,0.003621,0.002294,0.26275,0.235667,0.030667,4.21267,4.19096,0.002,0.039541
6,0.920371,88.3437,11.3194,0,0,83.0495,0,40.6852,41.5575,0.003669,0.002125,0.239004,0.228958,0.048584,4.74325,4.71329,0.003291,0.049875
7,1.01284,183.609,5.44634,37904,418,177.447,0,47.8409,49.674,40.0607,38.8592,0.308708,0.259917,0.060334,5.53771,4.84946,0.656667,0.067042
8,1.19858,192.94,5.18296,55156,419,188.049,0,42.5101,38.634,54.5496,51.2761,0.385915,0.25475,0.03925,4.36258,4.31479,0.023875,0.046625
9,1.40048,176.18,5.676,59214,576,171.495,0,43.8465,37.6022,54.7544,34.181,0.449668,0.235666,0.039,4.20371,4.15567,0.02425,0.050459
10,1.57917,171.742,5.82267,61169,750,166.896,2.16408,40.4256,36.9929,54.0556,32.336,0.310085,0.23225,0.038625,4.34642,4.29496,0.026708,0.054833
11,1.75328,151.485,6.60133,62299,746,146.057,0,39.6147,33.9502,43.359,27.7266,0.325667,0.293917,0.073583,4.48346,4.40917,0.041583,0.08675
12,1.90894,173.515,5.7632,63079,701,167.785,0,40.6366,42.7175,49.3194,33.5373,0.600798,0.233583,0.078041,4.679,4.57862,0.0565,0.08775
13,2.0901,209.92,4.76373,66683,801,203.047,0,46.6734,45.8994,59.1363,48.6937,0.978378,0.238291,0.158667,4.63425,4.53029,0.053208,0.106834
14,2.30807,192.632,5.19124,71499,917,187.613,0,42.7934,45.6513,59.9282,37.5937,0.822875,0.253291,0.047542,4.44225,4.37121,0.045958,0.062959
15,2.50539,179.615,5.56746,76864,757,174.293,0,44.2189,40.9795,56.3647,31.2108,0.485548,0.267708,0.060209,4.39367,4.31663,0.04125,0.090584
16,2.68923,250.993,3.98417,84577,870,244.845,0,59.6419,56.6321,66.7828,59.8119,0.713836,0.513125,0.069625,5.219,5.14462,0.030708,0.092375
17,2.94436,230.964,4.32968,86378,843,226.49,0,59.991,49.0006,57.7265,58.3988,0.559996,0.242583,0.049167,3.78063,3.73175,0.021083,0.046958
18,3.17859,207.405,4.82148,92686,807,201.212,0,44.5161,51.0125,53.7593,49.6514,0.982455,0.257166,0.090958,4.89129,4.78704,0.056083,0.146041
19,3.39085,299.66,3.33711,247054,2539,292.76,0,69.3455,62.0125,90.0039,69.1424,0.733085,0.513125,0.124333,5.46162,5.35579,0.039584,0.1285
20,3.69543,336.69,2.97009,476468,4860,330.614,2.76063,75.5505,60.6302,114.801,74.5651,1.00029,0.272417,0.088542,4.94262,4.85687,0.036083,0.098917
21,4.03616,385.536,2.59379,948381,8018,378.73,0,68.886,68.9452,166.256,71.6385,1.31246,0.569167,0.13925,5.54392,5.45188,0.034416,0.094667
22,4.4262,345.71,2.8926,1427695,12130,338.846,0,51.1435,52.2387,167.035,66.0691,0.805507,0.465792,0.129792,5.52396,5.43142,0.043375,0.088708
23,4.7763,398.843,2.50726,1651446,15055,391.734,0,75.4979,72.6297,152.027,88.5885,1.26788,0.577833,0.135583,5.79938,5.681,0.067584,0.128084
24,5.17953,361.931,2.76296,1646266,16625,355.25,0,67.635,69.6306,133.089,82.5407,1.03584,0.541292,0.091834,5.84638,5.77262,0.028625,0.066459
25,5.54547,371.32,2.69309,1963451,20049,362.419,0,67.2622,57.2884,156.739,78.5449,0.955082,0.628,0.207708,7.27554,7.15013,0.05275,0.132417
26,5.9254,408.848,2.4459,2035034,20581,401.821,0,76.7346,71.359,163.938,84.1866,1.3235,2.89379,0.138167,5.50683,5.36842,0.080375,0.13425
27,6.33934,365.823,2.73356,1810086,17948,358.959,0,66.8755,65.78,147.443,76.5505,0.860254,0.515,0.145291,5.50433,5.36167,0.074917,0.101167
28,6.71241,364.37,2.74447,1537072,15457,357.241,0,70.5407,67.0824,134.184,82.5152,1.06929,0.829708,0.15475,5.81271,5.63713,0.121375,0.221209
29,7.09542,355.612,2.81206,1215414,12174,348.583,0,69.4296,63.6596,136.844,76.0724,0.702246,0.555667,0.138666,5.27117,5.14229,0.068208,0.168458
