frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.327309,79.4705,12.5833,0,0,66.602,4.00867,37.0343,24.6845,0.008042,0.0025,0.387794,0.185583,0.121209,9.60071,8.90833,0.673,0.704625
1,0.417104,52.3843,19.0897,0,0,47.9433,0,27.5317,19.6476,0.004082,0.001668,0.275211,0.187167,0.240417,3.76313,3.74012,0.003416,0.077375
2,0.472519,47.8537,20.897,0,0,44.3813,0,27.8922,15.8032,0.003129,0.000752,0.234166,0.181625,0.025458,3.12025,3.10637,0.002041,0.031917
3,0.523097,49.5179,20.1947,0,0,45.9163,0,27.3813,17.7898,0.003045,0.001331,0.280627,0.18025,0.031959,3.20475,3.18396,0.002375,0.042
4,0.578635,50.9412,19.6305,0,0,45.7645,0,27.2025,17.7805,0.003126,0.001377,0.234124,0.266833,0.029916,4.76079,4.74175,0.004291,0.063583
5,0.631407,48.7521,20.5119,0,0,44.8371,0,27.7652,16.389,0.002875,0.001002,0.207544,0.187708,0.054958,3.40046,3.36279,0.003209,0.047625
6,0.682209,58.8268,16.9991,0,0,54.7382,0,35.424,18.5945,0.002664,0.001039,0.226743,0.192833,0.036417,3.64921,3.62608,0.002542,0.041875
7,0.745767,169.067,5.9148,37858,417,161.603,0,41.8691,30.1878,42.3121,46.1163,0.268999,0.450875,0.046167,6.90062,6.44904,0.425125,0.05825
8,0.918153,141.367,7.07377,55218,429,137.708,0,38.4073,24.4505,31.3206,42.8037,0.243289,0.187292,0.033333,3.19792,3.16038,0.018667,0.041125
9,1.06299,96.4815,10.3647,59220,577,92.629,0,27.3267,17.5258,21.5755,25.5495,0.180673,0.194667,0.037041,3.42937,3.39908,0.011625,0.039416
10,1.16276,97.7625,10.2289,65549,726,94.0118,0.730625,26.6209,18.7399,21.9092,25.3488,0.179125,0.20625,0.028834,3.36229,3.32921,0.017208,0.039208
11,1.26377,98.6133,10.1406,67321,752,93.4825,0,28.8586,15.6104,22.4502,25.9335,0.175292,0.189125,0.028792,4.74817,4.72333,0.008917,0.034708
12,1.36432,98.2367,10.1795,69960,859,93.3353,0,29.0809,16.0798,21.7351,25.7164,0.180498,0.270708,0.035458,4.51738,4.48442,0.018042,0.044625
13,1.46469,98.285,10.1745,74319,852,93.0943,0,27.5326,16.8987,22.0893,25.91,0.195918,0.200125,0.03025,4.80683,4.77438,0.013875,0.036084
14,1.56496,98.6059,10.1414,84427,844,94.2618,0,28.3927,16.8514,22.8331,25.5438,0.169455,0.202666,0.025834,3.98062,3.95675,0.010291,0.0355
15,1.66545,97.6008,10.2458,86228,1081,92.5836,0,26.3328,15.9145,22.8099,26.8914,0.180123,0.187125,0.029792,4.6545,4.62958,0.010334,0.035125
16,1.76515,100.726,9.92793,97506,845,97.0659,0,28.1515,17.042,25.2526,25.9503,0.192752,0.201042,0.032167,3.27254,3.23804,0.016208,0.039542
17,1.86787,97.7276,10.2325,106827,1044,94.1561,0,26.9568,17.164,23.3071,26.096,0.173746,0.191791,0.0295,3.19762,3.167,0.015833,0.037417
18,1.96763,101.392,9.86271,127517,1304,97.8675,0,27.9339,19.0795,24.8888,25.3057,0.204665,0.181,0.0305,3.15792,3.13396,0.010167,0.032542
19,2.07083,114.89,8.70398,291730,2915,111.392,0,27.6008,17.965,38.921,26.2642,0.183288,0.183666,0.028834,3.13883,3.11238,0.010458,0.033625
20,2.18768,123.385,8.1047,498485,4549,119.771,0.733917,29.5452,16.7053,42.3655,29.7344,0.184163,0.204167,0.030875,3.23283,3.20583,0.00975,0.034417
21,2.31357,122.293,8.17708,1016724,8415,118.732,0,26.2326,16.0712,45.7477,29.9705,0.197667,0.197209,0.028625,3.19033,3.16017,0.01475,0.035916
22,2.43767,130.415,7.66783,1264207,10227,127.086,0,27.1404,20.2596,50.4378,28.6002,0.172459,0.197917,0.029,2.95504,2.92904,0.009584,0.032
23,2.56989,118.477,8.44044,1344506,13062,114.826,0,27.6408,18.177,39.0603,29.2986,0.174498,0.197291,0.027542,3.279,3.25571,0.009833,0.032792
24,2.68929,127.6,7.83702,1852778,17769,123.779,0,29.301,16.2575,45.2421,32.2909,0.180084,0.1915,0.031459,3.35492,3.32204,0.012875,0.037167
25,2.81879,145.172,6.88837,1866426,18673,140.158,0,29.0803,19.2784,58.2285,32.8256,0.243748,0.20175,0.036625,4.59021,4.55771,0.014958,0.038583
26,2.96589,123.548,8.09401,1713965,16682,120.328,0,28.2286,16.862,44.9366,29.6083,0.196127,0.198417,0.032916,2.82713,2.79433,0.015416,0.034375
27,3.09035,124.756,8.01567,1485569,14177,121.323,0,29.5333,17.64,43.7046,29.7992,0.171541,0.183542,0.024625,3.03112,3.00438,0.01475,0.036333
28,3.21675,123.868,8.07313,1237041,11489,120.502,0,27.3684,17.1275,44.686,30.6802,0.169455,0.198791,0.026625,2.92996,2.90008,0.014333,0.031541
29,3.345,125.283,7.98194,1042910,9606,121.975,0,29.0556,17.9793,46.9222,27.3758,0.173085,0.196709,0.026667,2.94183,2.90996,0.01725,0.038375
