frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.323244,84.184,11.8787,0,0,72.4296,2.44221,34.1503,35.029,0.005671,0.002041,0.327831,0.190375,0.123834,8.62025,7.92996,0.671041,0.6845
1,0.47703,82.9988,12.0484,0,0,77.7883,0,38.4214,38.508,0.006085,0.003375,0.302453,0.219291,0.231583,4.48888,4.45521,0.005291,0.090333
2,0.571504,83.5585,11.9677,0,0,79.0671,0,39.7583,38.4871,0.005375,0.002792,0.284332,0.229333,0.032791,4.08567,4.06725,0.002625,0.041125
3,0.658356,83.3885,11.9921,0,0,78.6239,0,36.8246,41.0187,0.00296,0.001493,0.23108,0.232125,0.033583,4.24642,4.22304,0.00275,0.044625
4,0.748555,84.1014,11.8904,0,0,79.0632,0,41.2171,37.0075,0.004206,0.001832,0.251996,0.269834,0.032792,4.49054,4.46858,0.003125,0.063042
5,0.836039,82.3757,12.1395,0,0,77.2546,0,40.3185,36.136,0.002996,0.001791,0.261749,0.234083,0.034458,4.66704,4.64658,0.002959,0.047417
6,0.922893,84.1552,11.8828,0,0,79.0309,0,40.4302,37.8274,0.003084,0.001375,0.201671,0.250208,0.042083,4.62567,4.59863,0.003792,0.053125
7,1.00964,163.949,6.09945,37858,417,155.996,0,39.9498,37.5043,41.6779,35.9572,0.248169,0.257542,0.039917,7.36408,6.82896,0.512959,0.058875
8,1.17736,158.251,6.31909,55222,429,154.68,0,37.564,37.3297,40.6183,38.3816,0.237916,0.252583,0.0345,3.17829,3.14583,0.014792,0.036958
9,1.34158,105.566,9.47278,58805,588,102.257,0,29.8261,27.4583,21.4886,22.834,0.18692,0.191875,0.027792,2.92075,2.89475,0.01175,0.030417
10,1.44903,117.091,8.5404,59855,735,113.221,0.93,29.6697,29.0501,24.0373,28.7672,0.209295,0.202792,0.033583,3.40225,3.36875,0.009791,0.039334
11,1.56817,109.883,9.10056,60598,685,106.53,0,27.4669,30.9383,23.2162,24.245,0.18767,0.19725,0.02925,2.95971,2.92558,0.016166,0.039625
12,1.67991,104.16,9.6006,60242,655,100.805,0,28.6348,26.9849,21.2643,23.2627,0.199625,0.187083,0.028625,2.97975,2.95017,0.012667,0.03825
13,1.78591,107.657,9.28875,64448,682,104.248,0,28.9134,27.9367,22.726,23.967,0.179585,0.198417,0.033,2.98292,2.95325,0.013041,0.037917
14,1.89656,152.758,6.54628,71955,706,149.254,0,35.4662,38.0495,36.8524,38.0751,0.273209,0.201917,0.036958,3.05871,3.02354,0.0155,0.038459
15,2.05133,112.12,8.91905,75529,677,108.671,0,29.2624,30.466,23.7611,24.5435,0.179127,0.186209,0.028042,3.08838,3.05946,0.013209,0.036166
16,2.16648,105.77,9.45445,80457,756,102.405,0,26.5825,27.7363,24.432,23.025,0.169208,0.190625,0.03,2.98596,2.95221,0.017416,0.042833
17,2.2742,105.771,9.45438,86354,922,102.417,0,26.5117,29.7525,21.7688,23.7434,0.178332,0.193375,0.026459,3.00958,2.98533,0.011291,0.030875
18,2.38312,105.22,9.50389,93492,1073,102,0,26.8714,30.0889,21.6623,22.7313,0.191376,0.190167,0.024291,2.88587,2.86746,0.007375,0.028709
19,2.49015,119.094,8.39674,255392,2325,115.603,0,26.6635,28.6642,33.8829,25.7383,0.172379,0.193,0.032209,3.11396,3.08758,0.009333,0.033625
20,2.61557,121.028,8.26257,446268,4048,117.68,1.02004,29.2293,28.5581,33.7592,24.454,0.184334,0.200166,0.027417,2.992,2.96762,0.009292,0.032458
21,2.73848,137.145,7.29153,880895,6778,133.882,0,26.8178,30.275,49.6175,26.4997,0.195369,0.198208,0.026667,2.90408,2.87554,0.012042,0.03575
22,2.88454,186.851,5.35186,1408315,12011,183.462,0,32.6613,33.1323,78.021,38.8738,0.248412,0.203084,0.034792,2.9325,2.90667,0.009583,0.033375
23,3.07339,134.08,7.45824,1737185,16277,130.845,0,28.1283,27.5189,43.8128,30.7375,0.173622,0.199209,0.026041,2.887,2.86217,0.012458,0.037625
24,3.20836,137.43,7.27643,1839352,18392,134.029,0,30.7322,27.8744,46.6277,28.1263,0.169625,0.204209,0.027458,2.99383,2.96733,0.010209,0.031959
25,3.35138,133.705,7.47915,1962729,20664,130.461,0,27.7385,27.672,46.6202,27.7838,0.169502,0.199625,0.027084,2.89833,2.87462,0.009542,0.031042
26,3.48701,132.498,7.54731,2056206,21011,129.065,0,27.3938,27.6165,45.4936,27.8805,0.191703,0.196083,0.031041,3.02508,2.99296,0.01525,0.042542
27,3.622,134.28,7.44715,2122778,21283,130.955,0,26.5302,27.2272,46.847,29.6587,0.21383,0.19575,0.029291,2.94521,2.91046,0.016791,0.038375
28,3.75817,137.9,7.25163,1720151,17818,134.483,0,29.5068,28.0298,48.3655,27.8743,0.186329,0.197334,0.029916,2.99812,2.96304,0.018667,0.044375
29,3.89815,273.099,3.66168,1370066,14281,267.173,0,51.1993,44.0925,116.18,53.8596,0.649957,0.4885,0.078584,5.00737,4.93546,0.029125,0.093542
