frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.30812,69.139,14.4636,0,0,57.4171,1.48083,28.3568,26.726,0.004954,0.001626,0.338165,0.180708,0.132459,8.65912,7.98963,0.65075,0.631708
1,0.386755,55.4481,18.0349,0,0,51.6836,0,25.124,25.8595,0.002081,0.0015,0.248665,0.181667,0.1815,3.19488,3.17529,0.002333,0.063833
2,0.445529,55.1545,18.1309,0,0,51.7922,0,25.2377,25.8384,0.002202,0.001503,0.250834,0.1805,0.03025,2.96746,2.94771,0.002,0.033958
3,0.502984,55.2774,18.0906,0,0,52.0925,0,25.2879,26.1064,0.002706,0.001331,0.246293,0.181875,0.031084,2.81537,2.79483,0.002125,0.03825
4,0.559155,54.9736,18.1906,0,0,51.7381,0,25.2689,25.7553,0.00225,0.000751,0.256545,0.180625,0.020208,2.81592,2.80267,0.003625,0.067584
5,0.616007,54.5497,18.3319,0,0,51.3087,0,24.9302,25.6813,0.001836,0.000706,0.249001,0.18225,0.025583,2.87442,2.859,0.002208,0.03925
6,0.672293,56.7214,17.63,0,0,52.8731,0,25.5578,26.5516,0.002368,0.00204,0.267247,0.194291,0.038167,3.41333,3.38529,0.003583,0.053667
7,0.731231,97.8192,10.2229,37858,417,94.1285,0,27.6843,28.0475,19.9455,17.7439,0.216087,0.193334,0.027375,3.29825,3.00287,0.27925,0.035458
8,0.830919,119.115,8.39522,55225,429,115.4,0,29.2114,29.4061,31.9635,24.0985,0.191835,0.205542,0.031917,3.27738,3.24383,0.014541,0.037541
9,0.952802,146.678,6.81768,62870,644,143.23,0,33.5574,33.497,39.3722,35.9791,0.236786,0.245417,0.035375,3.01425,2.98492,0.011791,0.032625
10,1.10143,102.346,9.7708,67447,790,99.1276,1.17896,26.2917,26.9363,21.609,22.4877,0.172541,0.18175,0.029541,2.85588,2.82704,0.014083,0.032375
11,1.20563,97.7638,10.2287,68013,747,94.5323,0,25.187,25.6566,21.141,21.9343,0.163541,0.18375,0.025167,2.87942,2.85133,0.0145,0.032584
12,1.30514,98.2748,10.1755,68639,854,94.7589,0,24.8899,25.8269,21.0204,22.3306,0.212791,0.186584,0.034083,3.10767,3.06296,0.024209,0.044291
13,1.40531,98.398,10.1628,75836,759,94.888,0,25.0803,25.7945,21.457,21.9107,0.193878,0.182208,0.0275,3.11171,3.07238,0.020916,0.048375
14,1.50554,98.4149,10.1611,82017,994,95.2262,0,25.3911,25.7649,21.6217,21.832,0.166831,0.183583,0.023417,2.83537,2.81379,0.008833,0.032709
15,1.60571,98.5473,10.1474,88397,1031,94.8524,0,25.17,25.8207,21.2321,21.9853,0.176255,0.182375,0.033875,3.28154,3.23142,0.030292,0.045333
16,1.70615,127.052,7.87081,98884,832,121.356,0,29.5195,30.7927,31.6071,28.2776,0.30113,0.25525,0.055625,4.86117,4.78371,0.042333,0.099875
17,1.83743,265.239,3.77019,104261,950,259.225,0,63.9547,60.057,65.0889,67.9159,0.953877,0.390667,0.061958,5.07675,5.01367,0.024834,0.065709
18,2.10634,291.218,3.43386,154470,1463,284.511,0,67.6907,62.1602,81.0903,70.8818,1.12938,0.630166,0.135125,5.49529,5.39933,0.044542,0.132334
19,2.40283,329.006,3.03946,319412,3188,322.764,0,71.4718,67.6333,103.655,76.3645,2.09662,0.594083,0.091375,5.14238,5.08867,0.024625,0.097792
20,2.73599,355.112,2.81602,514914,5027,347.837,2.36242,71.5486,68.9037,123.767,78.3348,1.25704,0.585333,0.166792,5.87917,5.71512,0.0465,0.105041
21,3.09632,361.114,2.76921,1041738,8445,354.72,0,63.7746,56.7989,159.774,71.7988,1.1815,0.520625,0.069333,5.33962,5.278,0.019334,0.071583
22,3.46266,389.634,2.56651,1498654,11902,382.531,0,68.3329,60.652,169.606,80.5709,1.64163,0.597125,0.139916,5.666,5.52283,0.069667,0.159625
23,3.857,372.787,2.6825,1738915,14790,366.001,0,66.4216,59.6877,160.673,76.504,1.15654,0.568875,0.103708,5.53963,5.4145,0.060125,0.134708
24,4.23554,349.8,2.85878,2062254,19647,343.885,0,62.9782,56.5697,148.676,73.3527,1.13762,0.252041,0.072958,4.84325,4.752,0.046458,0.111792
25,4.58958,331.326,3.01818,2186710,21831,324.52,0,56.9298,53.6097,143.751,67.5453,1.09121,0.616834,0.137375,5.4315,5.28075,0.072084,0.145334
26,4.92597,370.18,2.70139,2095916,21478,362.943,0,70.3302,63.2437,148.484,77.8693,1.32679,0.578625,0.133208,5.55087,5.39242,0.084208,0.138125
27,5.30089,340.809,2.93419,1783744,18074,335.363,0,62.7855,57.3874,141.95,71.2505,0.942544,0.335542,0.065083,4.61188,4.53775,0.025708,0.069292
28,5.64578,367.376,2.722,1494416,14561,361.367,0,61.4357,56.6683,170.829,70.1022,1.09187,0.374416,0.073,4.99958,4.91312,0.039083,0.08675
29,6.01802,254.537,3.9287,1246749,13137,251.261,0,49.0866,46.525,100.758,53.7712,0.539455,0.1845,0.031084,2.81942,2.78725,0.014583,0.032791
