frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.320766,86.8084,11.5196,0,0,70.4044,1.93567,35.1865,32.4284,0.006049,0.001913,0.336872,0.193083,0.136334,10.8045,9.9485,0.830584,0.732875
1,0.470095,84.159,11.8823,0,0,78.7306,0,36.821,41.0643,0.006458,0.005085,0.283044,0.203917,0.253583,4.66788,4.63746,0.003167,0.090458
2,0.560229,93.8688,10.6532,0,0,88.5113,0,43.449,44.2019,0.004043,0.002998,0.266875,0.234541,0.048292,4.81696,4.79175,0.003041,0.053917
3,0.661144,120.749,8.28165,0,0,110.754,0,57.2913,52.2853,0.004037,0.004042,0.330204,0.370792,0.090416,9.27504,9.2355,0.003709,0.068875
4,0.788029,139.08,7.19012,0,0,130.985,0,65.02,64.4963,0.006049,0.004459,0.472666,0.325,0.080833,6.93342,6.87646,0.005709,0.146709
5,0.933431,98.2274,10.1805,0,0,92.8639,0,50.2573,41.6265,0.008172,0.005792,0.34979,0.22825,0.060583,4.73592,4.69533,0.003375,0.054708
6,1.03565,87.6635,11.4073,0,0,82.5554,0,40.6795,41.0123,0.004749,0.005087,0.293952,0.233042,0.040584,4.63554,4.60671,0.003875,0.05275
7,1.13042,161.045,6.20943,37858,417,155.196,0,40.6375,39.1932,39.5015,35.0159,0.223836,0.243166,0.044416,5.31571,4.80204,0.49,0.053333
8,1.29744,187.866,5.32293,55222,429,181.83,0,42.6846,40.1868,53.667,44.4154,0.238296,0.269666,0.041459,5.52262,5.47829,0.019458,0.04925
9,1.492,182.833,5.46948,58809,586,178.329,0,43.9985,37.4626,52.6715,43.2541,0.253669,0.274333,0.045583,3.963,3.91833,0.01775,0.046333
10,1.67791,112.424,8.89488,60132,732,109.039,1.38571,26.9916,29.3462,27.0885,23.5781,0.181461,0.186042,0.028667,2.994,2.967,0.012584,0.038917
11,1.79494,108.086,9.25186,60815,650,104.711,0,27.5746,28.0422,22.6187,25.8192,0.184293,0.198708,0.028542,3.00787,2.977,0.014542,0.037209
12,1.91348,119.302,8.38207,60047,641,115.715,0,28.4565,31.0042,25.2894,30.2775,0.21191,0.185916,0.030708,3.18229,3.15112,0.013708,0.034416
13,2.03388,117.236,8.52982,64393,692,113.814,0,30.4245,28.0566,25.4712,29.0432,0.242335,0.192333,0.03175,2.9135,2.88108,0.013875,0.04625
14,2.1558,238.105,4.19982,70774,725,232.037,0,67.1011,49.3631,55.7659,58.272,0.384293,0.508875,0.075708,5.16379,5.08962,0.036042,0.089291
15,2.39677,295.271,3.38672,78012,735,287.928,0,69.736,77.1496,68.8819,69.655,0.919547,0.542208,0.157667,5.76317,5.59883,0.094542,0.166708
16,2.69568,306.014,3.26782,81539,798,294.628,0,68.9233,67.9555,75.6619,79.007,1.131,0.752459,0.179916,9.65325,9.51517,0.054625,0.171834
17,3.00481,269.114,3.7159,87072,987,262.561,0,64.136,63.8795,67.917,64.9611,0.541291,0.385167,0.079292,5.34983,5.28046,0.024417,0.075917
18,3.27877,234.416,4.26592,97333,1128,230.69,0,58.015,55.4635,54.9523,61.0003,0.517499,0.255167,0.045,3.14408,3.10883,0.010958,0.038833
19,3.51523,115.769,8.63791,264750,2609,112.46,0,27.9412,28.6933,30.4533,24.6544,0.234335,0.199625,0.028125,2.92725,2.89867,0.011292,0.03775
20,3.63292,123.626,8.08894,462141,4296,120.189,0.9165,26.3596,26.9434,35.8489,29.4629,0.182414,0.196666,0.031375,3.06121,3.02813,0.012584,0.037209
21,3.75839,135.008,7.40697,919041,7576,129.705,0,26.346,27.5401,45.8018,29.3732,0.173495,0.189375,0.029167,4.93042,4.90596,0.009709,0.036167
22,3.89541,158.9,6.29326,1460984,11817,155.525,0,28.3278,33.2745,61.5553,31.6475,0.231331,0.191583,0.028875,3.00367,2.97725,0.0115,0.0355
23,4.05933,192.261,5.20126,1694445,15418,187.364,0,37.023,34.3006,75.2818,39.7655,0.290576,0.2715,0.052208,4.28683,4.24129,0.015959,0.045417
24,4.2543,184.067,5.43281,1821406,18532,180.79,0,35.6644,36.2057,65.8432,42.3158,0.252289,0.201209,0.029792,2.9065,2.88154,0.009291,0.032958
25,4.4409,131.958,7.57816,1891636,20068,128.512,0,30.1369,27.2734,42.5923,27.8585,0.172171,0.195416,0.029917,3.08312,3.05592,0.010541,0.032583
26,4.57715,130.352,7.67153,1921316,19951,126.776,0,26.6069,27.5299,40.7854,31.2144,0.168007,0.194292,0.034959,3.18496,3.14617,0.021416,0.049292
27,4.70927,132.253,7.56127,1904270,18957,128.998,0,29.8863,27.4358,41.8582,29.1681,0.165454,0.195667,0.026708,2.90854,2.87929,0.014292,0.031959
28,4.84336,133.291,7.50238,1558875,15562,129.987,0,28.5913,29.7847,43.5715,27.3083,0.199007,0.23525,0.036667,2.91613,2.885,0.01375,0.031584
29,4.97861,131.756,7.5898,1101935,11302,126.959,0,29.1297,27.6709,42.7461,26.7046,0.186332,0.192125,0.0305,4.38488,4.34879,0.021708,0.040125
