frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.320942,77.668,12.8753,0,0,65.4838,2.56529,31.3651,30.725,0.006461,0.002332,0.33367,0.180667,0.167708,8.95404,8.32842,0.604667,0.710458
1,0.477202,93.6027,10.6835,0,0,88.2057,0,45.7689,41.574,0.004797,0.002626,0.266587,0.230125,0.261125,4.62333,4.59425,0.004583,0.092792
2,0.5754,92.5016,10.8106,0,0,86.096,0,44.7499,40.5243,0.002961,0.001417,0.245458,0.234,0.046667,5.83667,5.79767,0.010667,0.089917
3,0.675049,87.4933,11.4294,0,0,81.9971,0,41.4688,39.5843,0.006789,0.011706,0.333039,0.233208,0.060917,4.88796,4.84983,0.00575,0.071584
4,0.768885,87.7357,11.3979,0,0,82.6315,0,40.333,41.4709,0.010122,0.002249,0.277213,0.236,0.039666,4.59567,4.57133,0.003875,0.083
5,0.860947,88.543,11.2939,0,0,83.395,0,42.885,39.6802,0.003872,0.002665,0.277702,0.232625,0.039875,4.68037,4.65088,0.004,0.049083
6,0.953221,85.8362,11.6501,0,0,80.5535,0,38.964,40.7804,0.003084,0.00154,0.232169,0.245917,0.040333,4.69358,4.6515,0.016583,0.05725
7,1.04197,164.764,6.06929,37825,417,158.851,0,42.6658,40.737,39.2775,35.2959,0.238166,0.231541,0.048041,5.301,4.75617,0.517125,0.054166
8,1.20885,182.044,5.49319,55256,442,178.284,0,42.7483,41.0796,49.3656,44.1782,0.285748,0.250959,0.039792,3.199,3.16417,0.012333,0.038084
9,1.39795,104.857,9.53677,60380,595,101.528,0,26.5805,29.0817,22.0628,23.1351,0.201119,0.198959,0.032125,2.94392,2.91567,0.011375,0.036125
10,1.50387,105.525,9.47638,65902,738,102.082,1.26133,28.5635,26.8657,21.3622,23.3319,0.211789,0.199792,0.029959,2.98433,2.95254,0.013459,0.038666
11,1.6104,107.795,9.2769,67108,722,102.395,0,27.1591,27.5626,22.5125,24.3396,0.207664,0.204375,0.03675,4.84321,4.80279,0.021375,0.047708
12,1.72052,181.265,5.5168,68318,840,175.518,0,41.7293,38.9047,49.3952,44.3765,0.315501,0.324542,0.045208,5.1225,5.0555,0.041833,0.072375
13,1.90618,234.329,4.2675,73254,811,230.734,0,63.3966,51.6878,56.9007,57.775,0.343085,0.258667,0.0375,3.15042,3.11858,0.013167,0.039125
14,2.14161,109.901,9.09906,79607,941,105.124,0,28.9847,27.8772,22.9514,24.6649,0.172087,0.18825,0.030375,4.36229,4.33938,0.010542,0.034416
15,2.2525,105.225,9.50342,87182,898,101.856,0,29.0133,27.4159,21.924,22.8388,0.173206,0.198791,0.029458,2.94196,2.91146,0.014167,0.032083
16,2.35965,105.575,9.4719,94988,938,102.257,0,27.848,27.1098,21.6425,25.017,0.17479,0.192375,0.029292,2.94271,2.91404,0.012625,0.033125
17,2.46711,104.843,9.53803,100660,1097,101.583,0,26.7069,27.4805,23.8005,22.961,0.168496,0.196333,0.029583,2.90221,2.87425,0.013125,0.03325
18,2.57385,113.491,8.81129,147974,1411,110.125,0,26.9261,29.1145,29.3537,24.0668,0.207376,0.166375,0.030541,2.97171,2.94554,0.0105,0.039166
19,2.6893,196.065,5.10035,290970,2749,192.257,0,40.6243,38.8196,69.816,41.962,0.347126,0.323459,0.042166,3.38021,3.34733,0.014209,0.040959
20,2.88764,136.467,7.32779,445478,3799,133.159,1.06142,27.4078,29.7913,46.9897,27.2534,0.176038,0.196708,0.026459,2.94321,2.91979,0.009458,0.031291
21,3.02504,134.452,7.43761,936893,8069,131.124,0,27.4285,29.0864,47.2309,26.7017,0.191914,0.194917,0.028458,2.91271,2.88554,0.010375,0.031417
22,3.16052,134.406,7.44016,1347468,12154,130.955,0,28.4308,27.5532,46.2229,28.0827,0.172333,0.2015,0.026959,3.03683,3.00971,0.012,0.035042
23,3.29599,135.933,7.35655,1704740,15445,132.634,0,29.7832,27.5343,45.7566,28.885,0.168217,0.197,0.024167,2.91138,2.89042,0.010417,0.031
24,3.43383,135.533,7.37826,1923289,17874,132.201,0,26.9413,30.3744,46.5373,27.7018,0.166876,0.202625,0.026375,2.99313,2.96783,0.012417,0.035833
25,3.57126,135.484,7.38092,2135217,20760,132.073,0,26.8139,29.1957,46.7787,28.5652,0.184334,0.204959,0.038667,2.97187,2.93633,0.018709,0.042791
26,3.70774,159.438,6.27204,1877202,18924,156.109,0,31.1421,31.1008,56.9667,36.1774,0.214039,0.20025,0.028417,2.89863,2.86946,0.014666,0.035208
27,3.86825,135.64,7.37248,1439497,14387,132.323,0,29.4735,27.4289,47.4475,27.291,0.188831,0.197167,0.029875,2.89992,2.87,0.014583,0.032
28,4.00584,134.112,7.45644,1244124,11689,130.867,0,29.0059,27.4964,46.5038,27.2162,0.168788,0.20025,0.026125,2.89792,2.87046,0.01375,0.035083
29,4.14093,126.215,7.92299,1048420,10221,122.867,0,30.4255,27.195,38.2177,26.371,0.165542,0.2,0.027333,2.92967,2.89429,0.021083,0.041084
