frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.318824,73.5354,13.5989,0,0,61.6792,1.39546,30.3506,29.0799,0.005955,0.002753,0.328793,0.187375,0.144458,8.67258,7.99117,0.660417,0.688084
1,0.458254,86.2488,11.5944,0,0,80.848,0,40.3662,39.6035,0.005658,0.003712,0.323368,0.223833,0.277459,4.61292,4.58125,0.004334,0.098667
2,0.554146,83.6229,11.9585,0,0,79.0417,0,40.6242,37.5119,0.007412,0.004584,0.336706,0.227125,0.03975,4.12271,4.10238,0.003208,0.047125
3,0.641091,84.7315,11.802,0,0,79.9961,0,41.6564,37.5423,0.002621,0.001545,0.231288,0.2445,0.035875,4.20667,4.18517,0.003041,0.045167
4,0.728538,87.1498,11.4745,0,0,80.8029,0,41.3886,38.5833,0.004462,0.002413,0.28275,0.229792,0.035,5.86367,5.844,0.002959,0.066917
5,0.818173,87.3694,11.4457,0,0,82.1207,0,40.908,40.4393,0.002377,0.001414,0.214417,0.232041,0.038542,4.73246,4.70542,0.004,0.058041
6,0.908431,90.0229,11.1083,0,0,84.5717,0,44.9803,38.673,0.00342,0.002122,0.261586,0.289916,0.044542,4.87087,4.84354,0.003625,0.052833
7,1.00102,171.524,5.8301,37858,417,165.394,0,41.6062,40.78,42.6763,39.3985,0.263249,0.232959,0.049458,5.43363,4.85575,0.550709,0.06525
8,1.17613,199.261,5.01854,55222,429,193.495,0,45.2478,42.651,55.7529,48.65,0.280045,0.387,0.046208,5.02354,4.94521,0.024,0.068292
9,1.38497,237.685,4.20725,58950,578,233.4,0,61.5592,51.7027,59.9866,59.0648,0.370751,0.306541,0.04775,3.74496,3.70312,0.017083,0.043917
10,1.62382,134.079,7.45828,61024,835,130.695,1.28588,31.8701,35.0593,28.8757,32.8352,0.263212,0.198625,0.029625,2.94433,2.90742,0.018417,0.040709
11,1.76087,104.203,9.59663,63290,770,100.93,0,26.5553,29.3317,21.6522,22.7506,0.169456,0.192875,0.028792,2.89829,2.86804,0.014958,0.04
12,1.86693,104.14,9.60242,64295,734,100.856,0,26.0522,27.2165,21.9224,24.9827,0.203832,0.199208,0.026334,2.91975,2.89258,0.009917,0.035458
13,1.97294,104.045,9.61122,66740,920,100.635,0,26.8625,27.6667,22.0296,23.443,0.166543,0.196542,0.029292,3.04688,3.02125,0.010792,0.034667
14,2.08224,103.86,9.62837,71388,940,100.272,0,27.3517,27.1124,22.1035,23.0158,0.180831,0.197667,0.037291,3.14496,3.09992,0.019709,0.038834
15,2.1881,140.09,7.13826,76360,754,136.57,0,34.0888,33.6595,33.1773,34.7798,0.274124,0.237917,0.036541,3.10158,3.07133,0.012875,0.039042
16,2.33507,137.315,7.28255,83429,1011,132.918,0,33.1749,34.4615,30.6903,33.6425,0.256251,0.259375,0.045375,3.83363,3.79592,0.0125,0.044625
17,2.4737,129.926,7.69672,87361,1223,126.581,0,35.1064,34.335,27.2973,29.1436,0.203583,0.190625,0.02825,2.90933,2.88029,0.014417,0.034583
18,2.60463,103.031,9.70584,100399,1194,99.75,0,26.7714,26.9473,22.501,22.8517,0.196163,0.196375,0.027542,2.862,2.83862,0.009833,0.037042
19,2.71571,117.875,8.48355,255171,2600,112.852,0,27.54,27.9753,30.0534,26.6238,0.191376,0.187875,0.027,4.61458,4.59187,0.010541,0.035709
20,2.83546,113.222,8.83219,462757,4492,110.022,0.923417,26.593,27.9006,30.3968,23.5627,0.175087,0.19275,0.02675,2.84546,2.82267,0.009583,0.032458
21,2.95055,130.36,7.67106,882016,7415,127.113,0,29.2868,27.0888,43.2168,26.8491,0.195456,0.193209,0.029458,2.88971,2.8665,0.009417,0.0325
22,3.08329,156.362,6.39541,1520330,12152,152.08,0,29.8816,30.2625,62.1472,28.9158,0.205669,0.215,0.043791,3.69996,3.65963,0.016375,0.051875
23,3.24092,165.689,6.03542,1695423,15257,162.377,0,30.0515,30.8827,64.626,36.0873,0.210707,0.199042,0.025417,2.88837,2.86192,0.010125,0.032125
24,3.4076,130.4,7.66873,1694092,16516,127.121,0,26.7763,27.0804,43.2739,29.3183,0.174625,0.203084,0.026459,2.87763,2.85292,0.011083,0.035
25,3.53991,126.607,7.89846,1805714,19087,123.37,0,29.3262,27.4398,37.9072,28.0432,0.167424,0.199875,0.025958,2.89412,2.87279,0.010125,0.034208
26,3.66838,124.939,8.00388,1964245,19862,121.684,0,26.5778,27.5268,37.5852,29.3467,0.172332,0.194833,0.027208,2.90279,2.87858,0.010083,0.032917
27,3.79523,128.497,7.78227,2037148,19995,125.154,0,29.0372,26.9505,41.2757,27.217,0.195134,0.197084,0.027583,2.98617,2.95587,0.015833,0.037125
28,3.92562,146.363,6.83231,1655786,15826,143.105,0,29.5645,28.0277,57.3257,27.5374,0.169461,0.198792,0.025833,2.89742,2.86937,0.014542,0.037167
29,4.0729,157.16,6.36293,1315067,11766,152.905,0,30.2857,28.141,65.3505,28.2881,0.198416,0.207833,0.047833,3.62796,3.57938,0.02525,0.052
