frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.318567,81.5359,12.2645,0,0,69.4003,1.91533,33.2344,33.3861,0.007248,0.002626,0.378043,0.188833,0.142875,8.84967,8.19133,0.638875,0.681334
1,0.47017,87.5451,11.4227,0,0,82.2478,0,44.0043,37.363,0.004996,0.003876,0.294873,0.244208,0.251416,4.54842,4.51788,0.003583,0.08475
2,0.567009,82.0373,12.1896,0,0,75.4892,0,37.7125,36.9046,0.00604,0.003084,0.311,0.221667,0.037625,6.07454,6.04692,0.008417,0.077667
3,0.652898,84.9035,11.7781,0,0,80.2925,0,39.1077,40.3827,0.003545,0.002708,0.267586,0.229625,0.032208,4.18842,4.16921,0.003125,0.045917
4,0.740438,81.616,12.2525,0,0,77.0662,0,39.3981,36.8503,0.003876,0.002252,0.262003,0.242417,0.031792,4.08908,4.06346,0.002584,0.060542
5,0.82452,81.6038,12.2543,0,0,76.9154,0,39.3088,36.8085,0.00308,0.002332,0.248461,0.230667,0.031584,4.22758,4.20375,0.002875,0.046583
6,0.908787,78.9747,12.6623,0,0,73.9409,0,37.2794,35.9106,0.002415,0.001214,0.200288,0.230959,0.043542,4.53988,4.51575,0.002916,0.048666
7,0.990455,155.46,6.43252,37859,417,149.665,0,39.651,35.4156,37.1863,33.3394,0.288461,3.42604,0.053958,5.18171,4.67946,0.474083,0.058083
8,1.15259,185.987,5.37671,55343,431,181.314,0,40.8529,39.8746,50.5506,48.9743,0.284497,0.344292,0.060708,4.13162,4.08725,0.015375,0.045667
9,1.34749,145.954,6.85146,59098,588,142.505,0,38.4264,36.207,31.0363,36.082,0.260458,0.192125,0.027,3.06492,3.03529,0.013709,0.033875
10,1.4988,105.18,9.5075,61887,747,101.581,2.31171,26.2675,27.4254,22.1045,22.8316,0.175337,0.188166,0.029667,3.21792,3.1855,0.014583,0.037292
11,1.60487,105.103,9.51445,66962,703,101.71,0,26.3005,25.9639,21.4545,27.3317,0.170919,0.19625,0.027958,2.967,2.93646,0.015,0.032167
12,1.71192,103.699,9.64331,69761,744,99.9223,0,28.3389,26.1843,21.941,22.8156,0.187918,0.184625,0.027458,3.41408,3.39237,0.009209,0.034917
13,1.81747,115.536,8.65532,73581,819,110.984,0,28.048,28.3827,25.4739,28.1673,0.22246,0.242042,0.041167,3.93967,3.89108,0.025333,0.065166
14,1.93589,127.309,7.85492,81690,831,123.992,0,30.4495,30.5673,28.9466,33.3394,0.210748,0.187667,0.028833,2.92933,2.902,0.010792,0.035292
15,2.06505,106.062,9.42843,85771,1011,102.794,0,26.2033,28.308,22.3659,25.2835,0.167381,0.197583,0.032292,2.911,2.88479,0.011917,0.031667
16,2.17294,104.36,9.58223,90377,1083,101.075,0,28.439,26.3962,22.3106,23.2918,0.168962,0.197208,0.025959,2.92088,2.88946,0.017834,0.041833
17,2.27922,104.165,9.60014,98134,1021,100.88,0,26.2373,27.1296,22.0158,24.8681,0.171415,0.189292,0.026375,2.92404,2.89258,0.018041,0.039833
18,2.38524,105.035,9.52068,105929,1118,101.755,0,26.35,28.6626,23.3091,22.7832,0.185623,0.194208,0.028166,2.91237,2.8845,0.0125,0.035292
19,2.49227,119.287,8.38314,279366,2623,116.014,0,26.7712,28.7509,35.7532,24.103,0.169874,0.191375,0.026125,2.92663,2.90454,0.008584,0.0305
20,2.61345,118.553,8.43507,469566,4318,115.23,0.9155,26.9172,28.9537,32.8531,24.9279,0.183419,0.198667,0.029334,2.95908,2.93396,0.010417,0.034917
21,2.73445,137.334,7.28153,963719,6836,134.117,0,27.1572,26.6174,52.6806,26.9923,0.193166,0.199375,0.025792,2.86254,2.83704,0.012083,0.037459
22,2.87271,139.929,7.14647,1398365,11861,136.536,0,28.4315,28.0719,49.2428,30.1009,0.188248,0.1975,0.027,2.98392,2.95979,0.010875,0.034042
23,3.01718,172.249,5.80554,1718405,16052,166.427,0,33.784,31.3248,63.2904,36.5246,0.33671,0.477417,0.062,4.94763,4.8925,0.02175,0.070334
24,3.19236,199.094,5.02276,1845474,18499,195.687,0,45.0045,37.546,69.9494,42.3367,0.30575,0.192125,0.029167,2.91988,2.88788,0.015416,0.031584
25,3.39723,132.413,7.55215,1810826,18100,129.126,0,26.7431,26.917,47.1528,27.5683,0.168126,0.275667,0.033459,2.9005,2.86708,0.015375,0.037125
26,3.53167,131.077,7.62909,1802463,18025,127.771,0,26.9776,26.7532,44.8259,28.5636,0.174543,0.191125,0.025875,2.93775,2.9125,0.010625,0.031333
27,3.66456,135.732,7.36744,1775632,17554,132.461,0,26.9746,30.458,46.7526,27.5941,0.195001,0.200792,0.031125,2.89971,2.86804,0.01725,0.036125
28,3.8027,138.377,7.22663,1639171,16168,135.079,0,29.4107,27.273,47.1957,30.528,0.183913,0.201667,0.0285,2.94017,2.9095,0.015084,0.033333
29,3.94302,128.938,7.75568,1436731,14172,125.67,0,26.6092,26.4399,43.2148,28.7629,0.168999,0.180875,0.028916,2.89763,2.87,0.012875,0.03525
