frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.312533,88.3558,11.3179,0,0,75.6609,2.56925,35.53,36.6096,0.014084,0.002413,0.381416,0.187583,0.173834,9.11392,8.41617,0.678583,0.649667
1,0.478906,93.6777,10.6749,0,0,85.9715,0,38.8331,45.9951,0.015081,0.009083,0.530998,0.228125,0.288958,6.91867,6.88713,0.00375,0.091208
2,0.583682,82.2718,12.1548,0,0,77.7007,0,40.4423,36.3922,0.005998,0.002543,0.326169,0.231042,0.032958,4.15212,4.12958,0.002916,0.041417
3,0.671308,87.5607,11.4206,0,0,83.0308,0,39.9352,42.2634,0.002663,0.001374,0.274123,0.248916,0.03125,4.10721,4.08508,0.003625,0.046458
4,0.76297,86.7344,11.5295,0,0,81.9515,0,41.5595,39.5962,0.003539,0.001583,0.253204,0.230542,0.043375,4.27908,4.25271,0.005,0.070416
5,0.853235,85.6293,11.6782,0,0,80.5694,0,42.2385,37.5673,0.002544,0.001371,0.222586,0.236,0.047084,4.51008,4.48121,0.004208,0.054666
6,0.942617,85.7173,11.6663,0,0,80.3845,0,39.646,39.8585,0.004372,0.001665,0.264919,0.250875,0.043916,4.803,4.77129,0.004333,0.062917
7,1.03767,161.215,6.20289,37825,417,155.333,0,40.2478,41.4153,38.8466,33.9141,0.273626,0.237834,0.04125,5.31071,4.75925,0.521375,0.060083
8,1.20743,167.624,5.96574,54840,471,164.271,0,41.3156,39.2178,42.4654,40.5035,0.261709,0.20425,0.031167,2.95213,2.91967,0.014875,0.033875
9,1.37615,105.294,9.49719,59027,574,101.787,0,26.7916,27.381,23.9319,23.0001,0.198834,0.1935,0.032,3.06471,3.03325,0.013917,0.03475
10,1.48252,105.012,9.52275,61430,780,101.477,1.298,26.1767,26.7811,21.4147,25.166,0.183044,0.18075,0.029041,3.09017,3.05608,0.017667,0.047375
11,1.58848,105.421,9.48575,62561,757,102.021,0,28.6641,28.3418,21.4853,22.8741,0.167874,0.198208,0.025542,2.98458,2.96017,0.01125,0.030125
12,1.69492,106.719,9.37044,63970,705,103.407,0,29.9207,27.3399,21.7622,23.7085,0.195292,0.193333,0.028042,2.91521,2.88858,0.0125,0.03625
13,1.8037,105.423,9.48557,67067,829,102.147,0,26.9858,27.1355,22.0769,25.3112,0.172792,0.191083,0.028625,2.89662,2.86975,0.009125,0.032916
14,1.91008,105.513,9.47747,71319,953,101.709,0,26.0337,26.8087,22.0373,26.0972,0.22075,0.185583,0.04275,3.30112,3.25092,0.026959,0.04675
15,2.01676,111.399,8.97675,76261,782,107.982,0,27.6751,28.7437,26.2085,24.6438,0.205916,0.198042,0.028625,2.93254,2.90358,0.012167,0.037791
16,2.13018,107.396,9.31137,80256,850,104.179,0,29.1406,27.747,23.0358,23.6021,0.183211,0.191208,0.027042,2.84592,2.818,0.012375,0.03225
17,2.23967,106.11,9.42417,84832,1106,102.856,0,29.3382,27.0815,22.1841,23.6234,0.170005,0.190708,0.028834,2.89983,2.87663,0.008792,0.032041
18,2.34752,103.207,9.68925,98251,1187,99.8448,0,27.1014,27.2066,21.6981,23.1862,0.194042,0.191,0.030083,2.99317,2.96325,0.013375,0.032375
19,2.45452,108.023,9.25729,214248,2288,104.583,0,26.3327,27.0193,27.0546,23.489,0.184836,0.197875,0.030708,2.97912,2.94912,0.011583,0.038125
20,2.56949,128.751,7.76691,477687,4965,125.278,1.00621,27.1354,28.1473,39.3206,28.9972,0.204001,0.181292,0.030125,3.00383,2.97533,0.010666,0.035458
21,2.70308,138.046,7.24394,883141,7907,134.611,0,28.9497,27.0617,50.8225,27.1111,0.197749,0.182834,0.029583,3.04733,3.01871,0.010333,0.039209
22,2.84307,138.471,7.22173,1271614,10823,134.894,0,26.7094,29.3779,51.3165,26.8405,0.171751,0.197083,0.028792,3.17729,3.13242,0.021625,0.05075
23,2.98545,160.04,6.24844,1679312,15551,156.557,0,28.7833,31.2718,61.6955,34.0781,0.225334,0.200542,0.0335,3.08192,3.04617,0.017875,0.043208
24,3.15301,147.663,6.77218,1676782,16016,144.378,0,27.5544,30.1837,55.1978,30.7658,0.189209,0.199333,0.028458,2.91496,2.8865,0.011541,0.0345
25,3.30258,137.95,7.24898,1950122,19114,134.675,0,26.6635,28.982,50.1891,28.191,0.172164,0.198375,0.026583,2.92129,2.89404,0.012542,0.035833
26,3.44243,136.452,7.32857,2042485,19989,133.175,0,26.9169,27.0743,48.9719,29.5588,0.170795,0.1995,0.028333,2.9055,2.88042,0.010375,0.033917
27,3.58135,143.958,6.94646,2084829,20509,140.421,0,30.4328,27.3557,53.5067,28.4165,0.217999,0.201875,0.028375,3.16446,3.12775,0.017542,0.034833
28,3.72623,145.653,6.86561,1886933,18756,142.284,0,27.1367,29.4265,55.3893,29.667,0.173208,0.192166,0.027125,2.94517,2.91408,0.015042,0.031959
29,3.87295,148.827,6.71921,1496202,14781,144.853,0,30.3505,28.6,56.7098,28.4023,0.188327,0.207708,0.035792,3.43517,3.39588,0.018417,0.038208
