frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.306675,68.2899,14.6435,0,0,56.5231,2.12988,27.3747,26.1977,0.007,0.001578,0.342334,0.177125,0.1335,8.633,7.97083,0.642833,0.666792
1,0.384441,55.3287,18.0738,0,0,51.0436,0,24.6964,25.6294,0.003125,0.001708,0.250454,0.17875,0.267083,3.55792,3.53271,0.005083,0.107875
2,0.443389,56.4515,17.7143,0,0,52.7212,0,25.9119,26.0957,0.002252,0.001292,0.249378,0.188833,0.029167,3.34617,3.32596,0.003125,0.041792
3,0.502594,58.6298,17.0562,0,0,55.0348,0,26.9066,27.4591,0.003079,0.001293,0.194665,0.183208,0.029209,3.18262,3.16038,0.002667,0.044459
4,0.562435,59.2268,16.8843,0,0,55.7215,0,27.2043,27.7517,0.003377,0.001751,0.269165,0.186041,0.030791,3.01204,2.9895,0.002125,0.06
5,0.623786,60.577,16.5079,0,0,57.2094,0,27.975,28.5664,0.001998,0.001252,0.19496,0.191125,0.026708,2.96892,2.9475,0.003041,0.043708
6,0.686436,61.055,16.3787,0,0,57.2403,0,28.0132,28.525,0.003163,0.001791,0.21338,0.187041,0.038708,3.37958,3.35446,0.001959,0.037375
7,0.749503,87.5072,11.4276,37858,417,83.9178,0,25.2963,25.7252,15.0025,17.2764,0.171171,0.181125,0.026625,3.21004,2.91967,0.275458,0.032458
8,0.838451,98.3008,10.1729,55222,429,94.9926,0,25.2288,25.7182,20.469,22.9502,0.173415,0.181875,0.025417,2.96212,2.93467,0.013625,0.026209
9,0.938357,96.5655,10.3557,59625,584,93.2564,0,24.732,25.5525,20.6912,21.6593,0.172461,0.177,0.028541,2.90829,2.88,0.012416,0.03425
10,1.0367,97.7858,10.2264,60321,759,94.5791,0.913666,24.7683,25.6436,20.6263,21.999,0.169164,0.180917,0.028167,2.84271,2.81887,0.008709,0.031417
11,1.13633,97.3533,10.2719,61032,706,94.1947,0,25.1615,25.4488,20.5846,22.3872,0.162246,0.181458,0.019167,2.84142,2.82279,0.010958,0.025083
12,1.23514,99.4615,10.0541,61759,688,96.1305,0,25.7011,25.6734,21.0518,23.0574,0.182624,0.182458,0.026792,2.93417,2.90142,0.018542,0.035334
13,1.33641,99.5,10.0503,66116,717,95.972,0,25.3801,25.5257,21.232,23.1574,0.192912,0.177791,0.030042,3.13846,3.10433,0.01725,0.041
14,1.43781,120.784,8.27924,71907,842,116.331,0,28.6595,29.1697,28.0432,29.4634,0.261873,0.21425,0.047291,3.74783,3.69658,0.019875,0.060625
15,1.56099,130.409,7.66817,76827,827,127.179,0,31.5676,32.2265,30.2599,32.3957,0.247208,0.180083,0.027875,2.83312,2.80846,0.008833,0.030833
16,1.6933,96.8225,10.3282,82090,803,93.5307,0,24.4937,25.4618,21.3058,21.657,0.167083,0.176291,0.025083,2.93479,2.90492,0.015916,0.030667
17,1.79203,97.1793,10.2903,89556,857,93.97,0,24.7404,25.595,21.2798,21.7373,0.168792,0.182208,0.028083,2.84125,2.81146,0.015083,0.036542
18,1.89097,96.8666,10.3235,91389,861,93.6567,0,24.8886,25.4558,20.9572,21.723,0.182835,0.181166,0.03,2.84612,2.81808,0.012792,0.031083
19,1.98962,102.648,9.74198,244528,2353,99.4838,0,24.9527,25.565,26.2512,22.0686,0.193504,0.183041,0.023416,2.81787,2.79408,0.009833,0.030083
20,2.09399,109.884,9.10047,476946,4775,106.744,0.913208,24.969,25.6014,31.9517,22.6779,0.171581,0.184292,0.027375,2.78404,2.7615,0.008917,0.030167
21,2.20576,124.826,8.01115,892918,8013,121.46,0,25.1472,25.5179,45.3962,24.7644,0.171414,0.183459,0.026417,2.99987,2.97154,0.013042,0.039875
22,2.33245,130.336,7.67248,1364078,11793,127.109,0,25.3701,25.6482,49.2797,26.1218,0.201042,0.183875,0.032625,2.8335,2.80658,0.009875,0.030583
23,2.46469,146.621,6.82031,1615123,15320,143.403,0,29.2577,29.3732,51.1597,32.8958,0.232002,0.183791,0.029,2.84983,2.82104,0.013042,0.030084
24,2.61223,120.269,8.3147,1670795,16896,116.986,0,25.9182,25.5214,38.5739,26.3259,0.168207,0.181125,0.027542,2.87121,2.84617,0.010209,0.029292
25,2.73439,121.191,8.25141,1834001,18961,117.946,0,25.1995,25.7156,39.9245,26.4847,0.166923,0.176459,0.026125,2.88958,2.86267,0.01125,0.035083
26,2.85735,129.7,7.71013,2073752,20681,126.446,0,25.4587,25.6753,47.9449,26.7217,0.174747,0.186833,0.03075,2.88788,2.86187,0.010708,0.031375
27,2.98893,145.629,6.86676,2130539,20619,142.357,0,25.3179,25.5627,63.9977,26.8437,0.172752,0.184083,0.027667,2.90358,2.87425,0.014583,0.031208
28,3.13634,125.498,7.96828,1873105,18169,122.3,0,25.2551,25.716,44.2722,26.3997,0.196288,0.182209,0.027167,2.84729,2.81646,0.015959,0.032625
29,3.26275,123.507,8.0967,1295299,13141,119.834,0,25.6898,25.8407,42.1128,25.539,0.17171,0.186792,0.030834,3.24508,3.20296,0.024541,0.043083
