frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.327186,86.788,11.5223,0,0,74.5191,2.57892,35.5347,35.5252,0.007329,0.002128,0.373753,0.18275,0.145959,8.97008,8.28037,0.670458,0.668333
1,0.481828,70.0966,14.266,0,0,64.7929,0,32.938,31.0921,0.004081,0.002126,0.246583,0.192292,0.267166,4.57283,4.5445,0.003666,0.085791
2,0.560065,68.2187,14.6587,0,0,64.5082,0,29.1659,34.4754,0.003795,0.001873,0.270289,0.2955,0.036125,3.28279,3.26217,0.002541,0.040416
3,0.631759,70.1972,14.2456,0,0,66.5148,0,34.0898,31.7376,0.002089,0.00125,0.188585,0.208208,0.030083,3.26979,3.25113,0.001959,0.040709
4,0.708753,78.232,12.7825,0,0,73.8034,0,35.9816,37.0202,0.003458,0.001458,0.248998,0.230834,0.038042,3.91763,3.89213,0.003625,0.067375
5,0.791938,86.7518,11.5271,0,0,79.7312,0,42.2327,36.5785,0.007209,0.004046,0.299005,0.24025,0.050333,6.48212,6.4475,0.008209,0.086958
6,0.882588,91.894,10.8821,0,0,86.8345,0,44.6432,41.3641,0.004292,0.002791,0.267709,0.231333,0.040875,4.59288,4.57038,0.003875,0.056458
7,0.981112,159.257,6.27915,37858,417,153.967,0,41.1834,38.8297,39.1784,33.9288,0.254166,0.245375,0.037459,4.82346,4.36583,0.437083,0.052666
8,1.14374,177.166,5.64442,55591,440,173.485,0,41.8896,38.0714,48.0267,44.6348,0.243791,0.251666,0.039875,3.13854,3.09396,0.019541,0.045041
9,1.3232,106.082,9.42666,59344,548,102.71,0,26.4844,29.4908,22.3689,23.6833,0.206044,0.190667,0.030458,2.97804,2.94787,0.013041,0.0365
10,1.43138,109.488,9.13343,60466,740,106.121,0.948042,27.9584,30.021,22.9867,23.5319,0.191246,0.197333,0.030375,2.98054,2.95308,0.008916,0.035416
11,1.54293,105.422,9.48571,62074,726,102.135,0,26.381,29.9672,22.1737,22.9741,0.174121,0.193542,0.029583,2.91729,2.88546,0.014416,0.034541
12,1.65545,105.523,9.47657,62552,673,102.204,0,27.8258,29.012,21.7177,23.0073,0.171166,0.197166,0.02975,2.93558,2.90071,0.017709,0.037583
13,1.76283,107.26,9.3231,66143,733,103.775,0,28.5987,28.2071,22.6465,23.6034,0.219084,0.181333,0.03225,3.05242,3.014,0.019375,0.045583
14,1.87466,129.89,7.69883,71869,897,126.541,0,30.2188,31.5541,30.0611,33.9747,0.236666,0.198291,0.026375,2.97962,2.95429,0.008208,0.0325
15,2.00648,106.188,9.41729,77380,792,102.858,0,29.0088,27.4847,22.7323,22.994,0.1705,0.194041,0.027375,2.96029,2.93121,0.013125,0.035875
16,2.11455,104.511,9.56834,83801,849,101.225,0,28.0533,27.2767,22.1248,23.1328,0.175706,0.193208,0.02925,2.92563,2.89825,0.012,0.032167
17,2.22096,104.382,9.58017,88746,918,101.069,0,26.2736,27.0023,24.0322,23.1299,0.161456,0.193917,0.022416,2.973,2.95054,0.01025,0.030125
18,2.32724,105.743,9.45691,93461,1002,102.444,0,29.2776,26.8025,22.2165,23.5199,0.172332,0.182541,0.029125,2.94967,2.92183,0.011708,0.036375
19,2.43392,112.169,8.91512,246853,2655,108.657,0,26.6106,28.5108,27.8341,25.0261,0.190875,0.192583,0.028875,3.08825,3.05963,0.012917,0.038916
20,2.54709,126.845,7.88363,481105,4884,123.527,1.34238,26.6487,27.6865,38.6175,28.5935,0.161375,0.198208,0.025417,2.91213,2.88733,0.011167,0.037958
21,2.67489,138.536,7.21835,957844,8343,135.247,0,27.1423,28.7711,52.2343,26.4308,0.168248,0.200417,0.022917,2.89308,2.87083,0.009583,0.031834
22,2.81538,159.486,6.27012,1346202,11532,156.059,0,28.316,28.8935,65.2183,32.8527,0.254037,0.195917,0.029708,3.01833,2.991,0.01175,0.038708
23,2.97798,133.389,7.49687,1514583,14612,130.051,0,27.4145,27.931,43.226,30.7933,0.180506,0.196542,0.025125,2.90558,2.88321,0.009666,0.032625
24,3.11323,129.576,7.71751,1911795,19007,126.288,0,28.4554,27.671,41.797,27.7065,0.175668,0.201333,0.030334,2.918,2.89125,0.009958,0.034292
25,3.24525,130.138,7.68414,1934448,20947,126.803,0,26.681,27.1788,42.5018,29.7824,0.171041,0.202542,0.026709,2.97671,2.95067,0.011292,0.035333
26,3.37723,136.606,7.32033,2090390,21382,129.969,0,26.4016,27.034,44.9572,30.9116,0.173707,0.194917,0.034875,6.24479,6.21175,0.016125,0.037
27,3.5157,141.252,7.07954,2018888,19650,137.812,0,28.9202,27.2047,53.0867,27.9365,0.191416,0.189584,0.029125,3.05792,3.02083,0.019791,0.03975
28,3.65893,133.176,7.50886,1397922,14807,129.879,0,26.9343,28.1183,44.8671,29.2704,0.20458,0.19975,0.029333,2.91004,2.87946,0.012917,0.037042
29,3.79395,158.178,6.32198,1160047,11574,152.429,0,29.686,30.7461,57.4919,33.2563,0.288167,0.266375,0.099333,4.75338,4.67158,0.037583,0.070125
