frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.322582,79.1293,12.6375,0,0,67.4222,1.76687,32.6883,32.1064,0.008584,0.001998,0.379626,0.191709,0.131209,8.63383,7.94767,0.667542,0.706917
1,0.47743,72.6548,13.7637,0,0,68.119,0,33.3897,33.7593,0.008413,0.005043,0.414835,0.189833,0.322833,3.70467,3.67529,0.003833,0.10325
2,0.551463,66.3046,15.0819,0,0,62.6894,0,30.1373,31.7811,0.003749,0.002666,0.258001,0.193083,0.036458,3.14675,3.12387,0.003709,0.047959
3,0.628296,72.046,13.88,0,0,68.0993,0,35.1298,32.1785,0.004131,0.00246,0.285832,0.195417,0.042375,3.46996,3.44029,0.005709,0.054708
4,0.702632,79.5134,12.5765,0,0,74.8428,0,39.0264,35.0373,0.003582,0.001752,0.248039,0.228875,0.029041,4.21317,4.19083,0.004625,0.071916
5,0.785792,86.9667,11.4987,0,0,82.0798,0,41.3332,39.9736,0.003457,0.00154,0.226754,0.236959,0.031625,4.43779,4.41529,0.003167,0.047584
6,0.878821,89.272,11.2017,0,0,84.2042,0,45.3934,38.0306,0.004369,0.001793,0.24171,0.23375,0.041292,4.58796,4.56037,0.003875,0.066125
7,0.971985,162.303,6.1613,37819,418,156.813,0,43.9385,37.5702,41.706,32.7465,0.240752,0.250209,0.040083,4.98108,4.47167,0.485875,0.059167
8,1.13785,182.479,5.4801,54932,439,177.959,0,40.9073,40.8,48.7622,46.555,0.278251,0.219583,0.042875,3.925,3.87712,0.022792,0.062792
9,1.33162,123.03,8.12813,61101,625,119.35,0,31.8712,29.3111,27.1841,30.2186,0.270457,0.179334,0.033917,3.20167,3.15525,0.02475,0.049792
10,1.45936,143.875,6.95047,65885,765,139.467,0.992667,34.9824,33.0602,34.694,34.7937,0.257254,0.281708,0.043834,3.85962,3.817,0.017625,0.049583
11,1.60617,114.428,8.73913,67923,794,111.114,0,28.7928,31.8202,24.1182,25.7331,0.187952,0.184959,0.027167,2.93233,2.89975,0.017333,0.039833
12,1.72252,105.526,9.47638,68906,907,100.642,0,26.9764,27.4892,21.5941,23.9262,0.195919,0.189667,0.03025,4.50504,4.47596,0.014667,0.039375
13,1.82994,103.363,9.67463,77242,806,100.1,0,26.2496,27.2032,22.3343,23.681,0.167044,0.196959,0.02775,2.90592,2.88304,0.008667,0.032875
14,1.93427,105.439,9.48413,81309,951,102.093,0,26.7725,28.7969,22.0836,23.786,0.170539,0.195917,0.030208,2.94071,2.91075,0.014,0.035208
15,2.04074,105.802,9.45158,88559,936,102.498,0,26.9477,27.4987,22.3197,25.0841,0.174792,0.192458,0.026167,2.89471,2.86804,0.011834,0.033791
16,2.1485,105.344,9.49271,98411,810,102.099,0,27.013,28.9354,22.5146,23.0099,0.166332,0.193375,0.029458,2.882,2.85575,0.011916,0.032
17,2.25573,103.626,9.65013,102991,955,100.313,0,26.4455,26.1756,22.1324,24.9095,0.180125,0.193833,0.027833,2.96271,2.93842,0.01125,0.031208
18,2.36128,105.992,9.4347,118487,1395,102.707,0,27.9349,26.9577,23.183,23.9455,0.210626,0.1925,0.032083,2.89154,2.86371,0.0115,0.040291
19,2.46824,148.838,6.71873,293312,2755,145.513,0,32.6675,31.0613,50.4324,30.6328,0.216213,0.200917,0.024833,2.92296,2.89887,0.01075,0.035833
20,2.61804,133.674,7.4809,449040,4129,130.18,1.3955,27.1516,29.381,46.9073,24.7062,0.167799,0.193792,0.025709,3.08017,3.05388,0.0135,0.042542
21,2.75358,137.06,7.29608,888553,7552,133.834,0,28.0229,29.2426,48.5845,27.3089,0.199711,0.199166,0.030042,2.86342,2.84075,0.008875,0.031667
22,2.89303,138.013,7.24568,1470771,11844,134.55,0,27.0193,27.6646,50.1053,29.1235,0.168836,0.190542,0.02925,3.08892,3.06062,0.012667,0.03825
23,3.03303,131.747,7.59031,1677580,15540,128.383,0,26.6515,27.5401,43.8471,29.6777,0.176916,0.197083,0.03425,2.97946,2.95142,0.010791,0.030583
24,3.16679,132.652,7.53853,1809216,17093,129.378,0,26.7445,27.2043,44.4198,30.3581,0.171456,0.1855,0.036,2.88217,2.85279,0.01225,0.035709
25,3.30134,131.999,7.57582,1854005,18685,128.732,0,27.2154,29.3332,44.1245,27.4094,0.168668,0.201791,0.031334,2.89337,2.86667,0.010791,0.034792
26,3.4344,154.372,6.47784,2014490,19244,150.968,0,29.3035,29.6827,55.6437,35.6161,0.204997,0.197042,0.026958,2.98679,2.95379,0.018792,0.036541
27,3.59297,132.453,7.54982,1752974,17218,129.104,0,27.0645,28.5575,45.169,27.6163,0.194171,0.201709,0.027417,2.959,2.93412,0.012,0.03325
28,3.72736,132.492,7.54763,1399514,13788,129.198,0,29.6645,26.5635,44.1859,28.1382,0.167247,0.20275,0.03125,2.92217,2.89292,0.013583,0.037125
29,3.86213,134.732,7.42216,1181759,10998,131.482,0,28.4371,28.7367,46.7873,26.8818,0.165211,0.196584,0.030875,2.88671,2.85754,0.013792,0.033
