frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.311047,77.7387,12.8636,0,0,66.2475,2.25908,32.6619,30.4619,0.005998,0.002129,0.342371,0.193625,0.160792,8.45308,7.79304,0.640958,0.608208
1,0.398431,59.9399,16.6834,0,0,54.3224,0,26.4542,27.1616,0.002541,0.001498,0.242038,0.191708,0.165083,5.06167,5.04367,0.003667,0.0805
2,0.462201,59.4497,16.8209,0,0,56.1039,0,27.4655,27.9557,0.001793,0.001166,0.214334,0.199292,0.032792,2.92792,2.90621,0.00225,0.038333
3,0.52424,62.3271,16.0444,0,0,58.9008,0,28.6162,29.5906,0.001835,0.001165,0.226415,0.197375,0.021792,3.10208,3.09067,0.001125,0.026334
4,0.588245,57.8316,17.2916,0,0,54.5615,0,26.4027,27.3808,0.002334,0.001456,0.251374,0.249542,0.025958,2.82733,2.80958,0.001875,0.055417
5,0.647859,57.6225,17.3543,0,0,54.4233,0,26.3095,27.4056,0.001997,0.00121,0.236786,0.19425,0.021416,2.85858,2.84242,0.002042,0.032083
6,0.707181,57.8308,17.2918,0,0,54.2698,0,26.3182,27.1962,0.002337,0.001252,0.251206,0.198958,0.036125,3.16475,3.14071,0.003042,0.046417
7,0.76691,108.844,9.18745,37856,415,104.519,0,29.6173,29.9072,22.7369,21.4761,0.21267,0.243375,0.037083,3.87021,3.48738,0.36025,0.0515
8,0.878548,127.889,7.81928,55163,458,124.553,0,30.5543,31.0772,30.1285,32.0777,0.2153,0.195292,0.031917,2.86042,2.82908,0.014958,0.034625
9,1.0083,101.316,9.87015,61341,609,98.0824,0,26.1841,27.2117,21.7723,22.2812,0.170749,0.195,0.026417,2.87337,2.84729,0.011458,0.033416
10,1.11135,103.046,9.70441,62961,738,99.8083,0.942708,26.4551,27.33,21.9071,22.5423,0.170167,0.190208,0.028166,2.86792,2.84371,0.008583,0.03125
11,1.21619,101.3,9.8717,66448,762,98.1301,0,26.4694,27.2262,21.6377,22.1761,0.169083,0.183333,0.026584,2.81654,2.79475,0.00825,0.031584
12,1.31916,102.067,9.79749,67640,723,98.8299,0,26.4488,27.21,22.1345,22.4016,0.173462,0.19125,0.03,2.85992,2.82921,0.013125,0.033458
13,1.42302,102.449,9.76097,69979,940,99.2317,0,26.5383,27.3322,22.2194,22.4913,0.187752,0.193417,0.026125,2.85979,2.83688,0.0075,0.030875
14,1.52725,102.145,9.78996,73591,855,98.9349,0,26.3417,27.376,22.1382,22.4086,0.170081,0.228667,0.028208,2.85196,2.82371,0.0125,0.029
15,1.63129,102.162,9.7884,78926,807,98.9988,0,26.495,27.323,22.2752,22.2794,0.167332,0.193083,0.024708,2.80629,2.78054,0.012209,0.029666
16,1.73518,103.122,9.69722,83516,1035,99.9092,0,26.5466,27.3923,22.5623,22.764,0.17975,0.191208,0.029709,2.84,2.80996,0.014166,0.035333
17,1.84025,102.93,9.71532,85682,1125,99.8301,0,26.6042,27.7785,22.552,22.2591,0.174123,0.193542,0.026417,2.72729,2.69658,0.016125,0.0455
18,1.94503,102.199,9.78483,93581,1074,99.0807,0,26.473,27.1405,22.3733,22.4602,0.171621,0.19825,0.029,2.75817,2.73321,0.012083,0.037917
19,2.04907,105.86,9.44641,248865,2667,102.55,0,26.7167,27.3169,25.3307,22.5282,0.194042,0.195958,0.027625,2.95025,2.92792,0.00875,0.031708
20,2.15667,110.865,9.01999,486585,4942,107.676,0.907333,26.4073,27.411,29.5409,22.7717,0.172753,0.193375,0.025583,2.84008,2.81871,0.007541,0.028334
21,2.26926,129.328,7.73227,917837,8022,126.011,0,26.0686,26.94,46.99,25.3203,0.196335,0.194166,0.031542,2.906,2.87542,0.012417,0.038958
22,2.4004,138.792,7.20505,1333232,11783,135.551,0,26.4285,27.3953,54.6775,26.3571,0.211037,0.185375,0.031125,2.845,2.81712,0.009958,0.03275
23,2.54108,124.323,8.04355,1541825,15201,121.103,0,26.61,27.3647,39.7609,26.7221,0.167297,0.198167,0.028959,2.84471,2.81738,0.00975,0.033958
24,2.66728,125.433,7.97238,1751061,18212,121.963,0,26.5512,27.3547,40.2836,27.1017,0.184378,0.186417,0.034541,3.04442,3.0065,0.01675,0.042791
25,2.79466,251.01,3.98391,1860652,19677,243.285,0,45.3313,46.228,96.7392,51.9907,0.745835,0.586834,0.186208,5.47517,5.30425,0.089041,0.227083
26,3.05205,407.857,2.45184,2102100,20420,400.156,0,71.2703,74.3253,171.323,79.3682,1.43404,0.577334,0.158708,5.36483,5.21296,0.061834,0.107208
27,3.46291,378.182,2.64423,1884260,18831,371.71,0,70.3505,70.8267,149.121,78.5001,1.35463,0.509709,0.084834,5.23633,5.13196,0.057417,0.089875
28,3.84548,365.192,2.73829,1516225,16585,358.199,0,69.3957,71.1715,136.062,78.0332,1.56516,0.572292,0.192125,5.314,5.18575,0.070917,0.122959
29,4.21574,362.224,2.76072,1081819,11615,354.391,0,68.2427,69.9381,137.373,75.1693,1.23416,0.6365,0.203625,5.51267,5.33483,0.089584,0.178291
