frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.325456,83.0305,12.0438,0,0,70.5124,2.34246,34.5264,32.7834,0.007419,0.002121,0.377375,0.185666,0.135084,9.26913,8.57354,0.67575,0.670292
1,0.482828,87.2957,11.4553,0,0,81.948,0,40.1494,40.9426,0.005707,0.002874,0.288332,0.236125,0.277333,4.55025,4.52054,0.00375,0.088875
2,0.576923,83.8514,11.9259,0,0,79.281,0,40.7095,37.7126,0.007584,0.004125,0.290705,0.231917,0.041209,4.09479,4.06704,0.004125,0.050042
3,0.664884,87.196,11.4684,0,0,81.333,0,43.0399,37.4979,0.004372,0.00279,0.254082,0.23325,0.041166,5.42925,5.40567,0.002333,0.042125
4,0.755769,83.598,11.962,0,0,78.9124,0,39.3963,38.7129,0.003621,0.00162,0.256084,0.24175,0.0325,4.21742,4.19371,0.002666,0.063166
5,0.841889,84.3737,11.852,0,0,79.4822,0,40.8225,37.878,0.003125,0.000834,0.212456,0.248916,0.033625,4.42671,4.40383,0.002541,0.042833
6,0.929191,86.9269,11.5039,0,0,81.5998,0,39.2135,41.534,0.002875,0.001502,0.233379,0.243875,0.039209,4.76471,4.73808,0.004084,0.05625
7,1.0188,170.205,5.87527,37825,417,164.02,0,45.4544,40.9424,39.6513,36.7939,0.280539,0.437208,0.057542,5.47229,4.89213,0.553708,0.066375
8,1.19848,170.719,5.8576,54840,471,165.939,0,47.2663,39.599,36.9143,41.4203,0.241042,0.186667,0.029541,4.3485,4.32096,0.013125,0.0345
9,1.37126,103.781,9.63566,59093,573,100.495,0,27.0348,28.0459,21.8438,22.9208,0.190249,0.19375,0.026042,2.93783,2.91196,0.012875,0.0355
10,1.47599,107.48,9.30407,60615,723,104.135,1.39254,28.9702,28.1442,21.8684,23.1181,0.174995,0.192542,0.030125,2.94833,2.92529,0.008167,0.032542
11,1.58444,105.919,9.44114,60686,634,102.557,0,27.187,29.2175,21.717,23.7524,0.177541,0.195583,0.03,2.92058,2.88762,0.017708,0.041125
12,1.69139,165.179,6.05404,60480,643,158.499,0,40.0814,37.2868,40.1327,39.4057,0.421002,0.44325,0.094,5.58967,5.43933,0.09975,0.130541
13,1.86165,285.474,3.50295,64700,723,278.337,0,66.8144,68.096,67.3038,73.4434,1.001,0.579666,0.127208,5.58254,5.43,0.091625,0.220084
14,2.15289,278.283,3.59346,70688,743,271.329,0,70.2658,62.1566,66.6375,69.8946,1.035,0.404708,0.079417,5.76875,5.64438,0.074875,0.117625
15,2.43841,268.478,3.7247,77195,688,262.132,0,65.1137,57.6747,65.5225,71.709,0.860996,0.554458,0.070041,5.37925,5.30804,0.031042,0.076917
16,2.70986,260.541,3.83817,80907,778,253.955,0,60.5288,56.5402,68.0091,67.1915,0.502587,0.393542,0.082917,5.48663,5.41029,0.0335,0.092125
17,2.97338,165.922,6.02693,85621,988,162.407,0,41.5704,40.7732,37.9204,41.1261,0.416751,0.190917,0.0325,2.94775,2.91921,0.010667,0.042
18,3.14037,105.557,9.47353,96181,1146,102.071,0,29.2177,27.0921,21.8652,23.2009,0.196534,0.192875,0.029667,3.03833,3.012,0.009833,0.033625
19,3.25108,115.429,8.66333,221515,2306,111.667,0,28.1339,27.9082,30.1905,24.7989,0.179834,0.182084,0.028583,3.38654,3.36108,0.011542,0.040042
20,3.36963,120.183,8.32063,418588,4082,116.903,0.927375,26.8455,27.1829,37.3235,23.9863,0.168998,0.198,0.026958,2.91842,2.89446,0.008459,0.030167
21,3.49167,141.085,7.08791,947859,7702,137.729,0,26.4668,27.4521,56.7312,26.3985,0.195626,0.19375,0.032459,2.97679,2.94954,0.011167,0.032208
22,3.63586,150.336,6.65178,1314885,11022,146.747,0,27.8853,28.6029,57.4873,32.0402,0.204254,0.204584,0.037334,3.10283,3.07167,0.012042,0.037291
23,3.78818,141.511,7.0666,1572664,14360,138.258,0,26.8978,27.6829,52.917,30.1106,0.171919,0.1995,0.027375,2.89767,2.87296,0.011958,0.032125
24,3.93155,127.04,7.87154,1627737,16807,123.764,0,26.6456,27.1325,40.4918,28.8662,0.159544,0.196291,0.027458,2.93379,2.91346,0.009375,0.031
25,4.05948,132.729,7.53417,1892922,20259,129.421,0,29.6852,27.7021,42.6353,28.7232,0.188335,0.195875,0.031125,2.92387,2.89396,0.014375,0.038
26,4.19313,133.801,7.4738,2104614,21486,130.523,0,27.1915,28.1227,45.2477,29.3153,0.161539,0.19125,0.026209,2.88146,2.85683,0.010792,0.035625
27,4.32876,133.518,7.48965,2057070,20778,130.254,0,27.7396,27.2165,43.9705,30.6564,0.193749,0.201709,0.028708,2.91042,2.88104,0.014292,0.034292
28,4.46425,130.095,7.68672,1556285,15909,126.729,0,26.706,27.1604,42.4732,29.748,0.169122,0.196875,0.027708,3.00304,2.9705,0.017667,0.038709
29,4.59619,137.163,7.29058,1074295,10846,133.032,0,26.9202,30.2044,47.152,27.9395,0.191372,0.215792,0.045,3.57246,3.52925,0.022125,0.054334
