frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.308205,76.9034,13.0033,0,0,63.6299,2.31579,31.213,29.2673,0.007002,0.001751,0.357078,0.191292,0.118792,10.1817,9.3595,0.802791,0.75325
1,0.3948,62.1165,16.0988,0,0,58.0401,0,28.6364,28.6652,0.003583,0.001543,0.249332,0.207042,0.220541,3.45288,3.43404,0.00175,0.06625
2,0.460807,76.1665,13.1291,0,0,71.6235,0,36.0803,34.7746,0.001709,0.001419,0.229465,0.248084,0.030708,4.12904,4.108,0.002542,0.040292
3,0.540994,73.3605,13.6313,0,0,69.3187,0,34.5264,34.0033,0.001875,0.0015,0.210834,0.251917,0.040375,3.55883,3.53233,0.003958,0.058083
4,0.615432,63.0987,15.8482,0,0,59.1628,0,28.8297,29.5398,0.003166,0.00208,0.272873,0.204834,0.0405,3.39846,3.37033,0.003083,0.0715
5,0.681059,68.757,14.544,0,0,65.3234,0,31.888,32.6651,0.001957,0.001251,0.247045,0.193583,0.030667,2.97975,2.95733,0.001625,0.039375
6,0.751744,70.549,14.1745,0,0,67.1684,0,32.5763,33.872,0.001751,0.001129,0.248503,0.197584,0.027458,2.99696,2.97725,0.001709,0.036708
7,0.824018,91.1802,10.9673,37859,416,87.5556,0,26.8566,27.0884,15.8418,17.117,0.187706,0.19525,0.028292,3.24933,2.92454,0.308417,0.041916
8,0.916843,101.665,9.83622,55634,424,98.5228,0,26.5885,27.3475,21.6391,22.311,0.174786,0.192208,0.029125,2.76846,2.74154,0.013125,0.036458
9,1.02026,101.331,9.86864,58893,579,98.0064,0,26.5583,26.8976,21.5637,22.359,0.177549,0.180917,0.024833,2.97767,2.95629,0.0085,0.029417
10,1.12318,103.129,9.69657,61157,742,99.7848,0.946042,26.6247,27.3263,21.8516,22.4043,0.167874,0.195708,0.026708,2.95204,2.92925,0.008625,0.034958
11,1.22807,101.731,9.82988,62069,677,98.4435,0,26.6749,27.168,21.6967,22.2737,0.166875,0.194833,0.027875,2.91337,2.88308,0.014542,0.034709
12,1.33066,103.385,9.67259,62031,664,99.7588,0,27.277,27.3532,21.9413,22.515,0.176209,0.19275,0.028417,3.19179,3.16188,0.013792,0.042917
13,1.43605,122.53,8.16129,65090,725,118.944,0,29.9332,31.0984,28.1945,28.834,0.291836,0.247958,0.036333,3.14371,3.10521,0.016542,0.041792
14,1.56057,108.945,9.17894,71757,829,105.688,0,28.7157,28.9028,23.484,23.9368,0.177795,0.195333,0.029,2.87146,2.84446,0.010417,0.03625
15,1.6714,102.913,9.71693,77646,785,99.7328,0,26.6002,27.3699,22.8304,22.2922,0.172667,0.195625,0.028791,2.80808,2.7775,0.013458,0.035375
16,1.7761,102.139,9.79056,83968,862,98.9467,0,26.5323,27.1201,22.308,22.3495,0.172007,0.194416,0.026584,2.83267,2.80912,0.008625,0.032667
17,1.88005,102.293,9.77585,86216,933,99.0383,0,26.4341,27.1857,22.4337,22.3142,0.17467,0.224209,0.029666,2.86658,2.83592,0.013083,0.0425
18,1.9841,101.66,9.83674,95731,881,98.5022,0,26.4748,26.8189,22.1262,22.4535,0.172244,0.1865,0.031083,2.78958,2.76017,0.013541,0.032667
19,2.08749,106.748,9.36784,252658,2435,103.234,0,26.6816,27.1252,26.458,22.3157,0.185165,0.194125,0.0255,3.12387,3.09967,0.009333,0.031542
20,2.19598,112.886,8.85846,460302,4588,109.432,0.941666,26.3522,26.7851,31.7163,23.001,0.17496,0.184083,0.02475,3.09963,3.07558,0.011208,0.041791
21,2.31065,134.579,7.43056,945423,8364,131.257,0,25.4968,25.9499,53.7903,25.3109,0.192964,0.187625,0.031959,2.88204,2.85017,0.013042,0.04325
22,2.44723,145.543,6.87081,1407064,11808,142.148,0,26.5919,27.3352,59.7432,27.7728,0.229992,0.184125,0.025791,3.02413,2.998,0.011291,0.036459
23,2.59456,122.023,8.19516,1773185,16524,118.622,0,25.3353,25.6987,40.6771,26.2619,0.173995,0.188625,0.029167,3.03754,3.00917,0.012167,0.030625
24,2.7184,125.703,7.95524,1886142,18817,122.515,0,25.409,25.6522,44.5258,26.2884,0.173086,0.183792,0.026458,2.83529,2.81121,0.009875,0.029708
25,2.84595,126.383,7.91246,1866790,19090,123.16,0,25.4312,25.613,45.3675,26.1095,0.173331,0.184625,0.026041,2.85842,2.82758,0.016084,0.036542
26,2.97416,131.001,7.63353,1736823,17297,127.802,0,25.5258,25.6905,49.2252,26.7277,0.16929,0.182792,0.029041,2.82842,2.79858,0.015334,0.031833
27,3.10701,131.608,7.59831,1612297,15545,128.263,0,25.6944,25.9101,49.5605,26.4622,0.17025,0.187542,0.025209,2.99221,2.96413,0.012791,0.031542
28,3.24041,126.27,7.91954,1371157,13453,123.03,0,25.406,25.8513,44.5326,26.5782,0.198211,0.182208,0.024958,2.88217,2.85363,0.014958,0.035583
29,3.36851,143.376,6.97468,1017850,10540,140.039,0,27.4663,27.8723,55.6232,28.2762,0.228502,0.196291,0.038625,2.91846,2.88646,0.014083,0.04425
