frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.315475,79.581,12.5658,0,0,64.1174,1.7795,31.059,30.4245,0.006917,0.002372,0.354375,0.177625,0.171375,9.28275,8.61633,0.645625,0.681584
1,0.465357,75.6326,13.2218,0,0,71.2493,0,37.5177,32.9755,0.005917,0.002453,0.237074,0.206042,0.260917,3.63279,3.60071,0.006625,0.094917
2,0.544883,74.629,13.3996,0,0,69.7825,0,34.2936,34.7798,0.002124,0.001126,0.201954,0.211,0.033875,4.41608,4.39637,0.002708,0.044917
3,0.626119,83.9675,11.9094,0,0,79.2115,0,38.419,39.9724,0.004581,0.002001,0.283377,0.228542,0.039458,4.3075,4.27925,0.002792,0.043
4,0.714051,87.6169,11.4133,0,0,82.9057,0,40.985,41.1252,0.003078,0.001253,0.246708,0.2465,0.028625,4.25025,4.22875,0.003042,0.074417
5,0.805486,84.1593,11.8822,0,0,79.4764,0,38.1089,40.5523,0.00379,0.001625,0.281166,0.225791,0.040583,4.21263,4.18879,0.003542,0.041208
6,0.896536,86.3452,11.5814,0,0,81.2858,0,42.6557,37.8308,0.002286,0.001585,0.208416,0.247042,0.040667,4.50354,4.47588,0.003625,0.051917
7,0.9903,152.311,6.56551,37858,417,148.313,0,44.207,40.2024,31.9025,31.173,0.233708,0.265417,0.040459,3.56083,3.12646,0.415667,0.044708
8,1.14447,144.402,6.92513,55224,429,139.032,0,33.1465,34.7948,33.2953,36.8803,0.268625,0.254208,0.039208,4.81633,4.77029,0.021167,0.068208
9,1.29997,168.346,5.94014,60029,583,164.697,0,40.0627,37.3847,44.6768,41.7775,0.275417,0.206583,0.028958,3.23179,3.19621,0.017792,0.039125
10,1.47087,108.11,9.24983,61426,707,104.266,0.994083,27.079,29.3959,22.4889,23.5493,0.187498,0.213708,0.033375,3.35821,3.32454,0.012458,0.04475
11,1.58117,196.525,5.08842,60800,685,190.379,0,44.102,41.3828,50.2841,53.2531,0.295161,0.526625,0.064667,5.38079,5.30946,0.033417,0.0935
12,1.78208,164.889,6.06468,59878,650,161.28,0,42.4795,41.6284,34.6822,41.676,0.296172,0.184125,0.029417,3.18217,3.14629,0.018583,0.042709
13,1.94807,107.611,9.29272,64931,734,104.106,0,29.397,27.9964,22.1673,23.8933,0.168543,0.195209,0.025375,3.1055,3.08575,0.008625,0.036042
14,2.05663,108.3,9.2336,70851,771,104.907,0,29.5891,27.8331,23.249,23.5584,0.178625,0.205209,0.029833,2.97283,2.94075,0.013625,0.032
15,2.16599,106.928,9.35213,76447,715,103.462,0,26.8698,27.7756,24.5594,23.5378,0.179583,0.195375,0.031292,2.97571,2.94758,0.013292,0.037958
16,2.27502,149.819,6.67473,81609,804,146.371,0,34.3614,34.2858,37.5732,39.1994,0.307874,0.264125,0.033375,3.01329,2.98658,0.011875,0.042
17,2.427,107.333,9.31678,88209,884,103.961,0,26.8788,27.529,23.1135,25.7974,0.175497,0.196208,0.028458,3.00733,2.97996,0.013292,0.029125
18,2.53611,105.643,9.46582,96538,999,102.302,0,26.6791,27.2217,22.3809,25.3497,0.195955,0.196083,0.0295,2.97133,2.94271,0.010875,0.039667
19,2.6437,112.151,8.91656,233154,2364,108.707,0,27.1647,29.4293,28.1824,23.3006,0.165794,0.189875,0.027583,3.09104,3.06754,0.010208,0.036208
20,2.75774,120.321,8.31112,442515,4130,116.666,0.935958,27.5292,29.2573,34.2777,24.0135,0.171001,0.193958,0.027583,3.27933,3.25287,0.013708,0.045792
21,2.87983,142.181,7.03329,910551,7386,138.896,0,26.6406,29.9371,54.633,27.0006,0.199503,0.200958,0.027041,2.92275,2.89712,0.012166,0.036542
22,3.0239,139.812,7.15247,1459506,12342,136.519,0,26.8665,31.242,49.9569,27.7928,0.170209,0.210125,0.027542,2.94175,2.91767,0.010875,0.033667
23,3.16465,130.784,7.64622,1617363,15298,127.327,0,28.1315,27.3421,41.5297,29.5976,0.180293,0.203041,0.031958,2.97433,2.94508,0.011458,0.040125
24,3.29659,167.004,5.98788,1746265,17826,163.641,0,31.52,32.9208,61.9409,36.4354,0.286834,0.200625,0.029334,2.91004,2.86808,0.023875,0.045708
25,3.4646,132.384,7.55378,1941230,20149,129.058,0,29.8491,27.36,43.4227,27.7552,0.164252,0.1995,0.026333,2.90942,2.87821,0.016375,0.03275
26,3.59896,133.435,7.49426,1930983,19386,130.124,0,27.0735,29.52,43.781,29.094,0.175748,0.199833,0.025833,2.93425,2.89988,0.021459,0.050542
27,3.73497,132.689,7.53642,1632253,16105,129.357,0,26.9449,26.933,45.5132,29.2787,0.204288,0.20025,0.027625,2.96758,2.93621,0.016208,0.038917
28,3.87228,134.812,7.41773,1302184,13308,131.5,0,29.8394,27.215,46.2775,27.5119,0.170541,0.19625,0.029291,2.93183,2.90067,0.01375,0.034875
29,4.00903,130.952,7.63638,1017901,10657,127.661,0,26.9715,29.1109,44.0662,26.8667,0.164291,0.199875,0.027875,2.93358,2.90179,0.015917,0.036
